Empresa;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12
ALGAR CELULAR S/A;36889;40032;42894;46343;49582;50993;30749;32922;35191;37210;39142;40897;42307;36610;35858;33782;33092;32682;32407;32076;31788;31885;31652;31319;31313;30909;31844;33266;44496;52342;66416;89278;112427;131794;38373;38892;38139;38039;37001;37213;0;39910;41431;42728;44578;45804;47657;50199;52409;54076;55845;57047;57867;58231;57351;56858;55842;55616;54973;54037;52522;51725;50252;1089337;1100674;1107270;1121038;1137815;1159408;1176641;1205384
AMAZONIA CELULAR S/A;948084;944871;941243;936181;931481;907489;723870;681291;653450;618502;586735;561760;541775;526151;505962;497733;486020;456336;442845;423138;406739;397254;386526;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICEL S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8942226;9080726;9175457;9245578;9229372;9303661;9422440;;;;;;;;;;;;;;;;;;;;;;;;;;
CLARO S.A.;39365638;39586955;39829942;40181066;40485821;41054538;41872828;42278198;42762592;43148350;44400900;44806542;45071589;45583222;46044159;46676907;46901528;47540659;48164610;48766711;49740391;50462421;51637685;52241261;52858529;53437973;53949775;54744893;55534398;56202208;56803489;57513598;58380588;59232374;60379502;60761283;61066484;61595980;52996537;53607291;53790791;53829504;53992020;54143484;54497073;64353443;65238342;65555652;66070644;66308256;66084450;66516631;66472435;66676386;67111046;67432269;67915035;68255566;68704019;69033217;68941694;68748907;68490921;68755380;68775877;68932133;69303898;69635860;70053453;70521507;71106993
CTBC CELULAR S.A.;425912;425783;421381;426818;433781;441771;471738;479019;482510;485106;500317;505820;510054;515492;520308;524907;529499;531837;543919;557318;576909;598790;584178;590625;593647;591877;595884;604124;601878;603420;601236;582723;561777;540743;615532;634519;637488;645565;664820;668727;725438;704888;705897;701189;688511;691027;693311;716527;749487;785564;819175;836410;849017;865226;886451;902939;915586;930520;948778;970662;989602;1006469;1023413;;;;;;;;
DATORA TELECOMUNICACOES LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;1000;1250;4250;7250;10250;14250;18100;18900;19630;19630;;;;;;;;;;;;
NEXTEL TELECOMUNICACOES LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;2077;9696;79623;89751;97116;120346;160864;177081;193824;216876;254911;318138;410553;523736;656825;786045;936474;1024289;1075538;1179834;1292113;1374751;1443801;1512503
OI MÓVEL S.A.;6005202;5950948;5749269;6447201;6725996;6771958;6862443;6839865;6863677;6958771;7152823;7174475;7191236;7245110;7290072;7356391;7390476;7477169;7507695;7521947;7517641;7626749;7801871;7921840;8049515;8224028;8195448;8151275;8134739;8089308;8168246;8141186;8268073;8455215;8614171;8702537;8783144;8960208;9191820;9318363;9421849;9528513;9562851;9617084;9741709;9812742;10046284;10064560;10089500;10100271;10157159;10194337;10160941;10163172;10193578;10169649;10170349;10160320;10276143;10328381;10304100;10347815;10376048;10431759;10507217;10447970;10466628;10480000;10404202;10454846;10426131
PORTO SEGURO TELECOMUNICACOES S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000;8000;8300;8300;8300;8300;22239;35377;41377;54231;61811;65858;78586;78586;78920;79068;95273;101116;101614;103254;104112;104545;108773;112092;113323;113333;235961;236974;246720;271380
SERCOMTEL CELULAR S.A.;88111;88562;90261;92027;92661;91487;90640;90436;89533;88562;85124;83996;82490;81620;80474;80395;79416;75419;76100;77129;78029;76611;78451;78879;79722;80285;80822;82266;80824;79105;76576;76297;76551;75955;77265;77281;77100;76482;76204;76875;74070;73496;72488;72099;71186;68051;69507;68857;69402;69220;71265;68299;65452;61233;65054;63867;63546;62249;61071;59176;56731;53992;51428;51349;52585;52073;51827;51682;51660;51653;53273
TELEFÔNICA BRASIL S.A.;36530687;36643096;36573934;36893024;37158477;37517900;37947023;38132103;38485824;38977109;39979660;40358882;40532614;41082337;41243896;41825253;41980142;42277576;42626465;42809375;43154948;49928516;50956443;51265843;51522670;51990288;52331610;52819386;53220907;53890900;54660650;55307455;56543876;57577575;58664700;59485890;60151645;60661053;60923957;61094473;63782948;64037346;64173175;64349297;63850950;63609170;63658072;63314900;63277192;63315703;63434469;63121188;63058105;63220886;63487157;63085435;63455804;63605579;63065970;63367929;63520864;63746291;63690136;79188079;79357354;79405524;79665807;79823103;79991867;80250744;79937773
TELEMIG CELULAR S.A;4663894;4678351;4717525;4744234;4826944;5016154;5192669;5366679;5590008;5757475;5984594;6094284;6143050;6266703;6353251;6495912;6565113;6631398;6686464;6718525;6759941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TERAPAR PARTICIPAÇÕES LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;880;1400;1940;2470;2980
TIM CELULAR S.A.;35722089;36110370;36457944;37158182;37838854;38456613;39211337;39612224;39880742;40313582;41114714;41500158;41798350;42368249;42886139;43788082;44424855;44976339;45941728;46946628;47972907;49207109;51027625;51813847;52231747;52848704;53728328;54488578;55524929;56811635;58215450;59209980;60224649;61458962;64083149;65126458;65916842;67217384;45216183;45623176;68873683;68672340;69395736;69408234;69460373;69556821;70375950;70597829;70696608;71232161;71453175;72016401;72195067;72677853;72924141;72892399;73183060;73013411;73431175;73542521;73641359;73916805;73871048;74467845;74202921;74371788;74704562;74877242;75187877;75250704;75720577
TIM NORDESTE S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22808464;22913209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
