Empresa;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05
ALGAR CELULAR S/A;1222692;1237678;1253679;1264851;1267799;1269388;1272502;1279213;1283270;1283176;1286019;1298290;1305794;1310425;1313168;1313976;1317834;1323908;1330480;1334026;1335308;1335104;1335185;1342147;1336427;1344684;1341166;1339754;1339222;1336933;1336005;1328201;1325908;1317491;1311719;1312925;1309426;1307059;1304383;1313642;1312761
AMAZONIA CELULAR S/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICEL S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLARO S.A.;71385084;71779094;71941665;71585555;71598695;71202376;71370788;71209538;70353120;69054194;67375843;65978267;65036448;65434987;65288673;64816928;64585709;64264203;64019105;63683120;63518464;60592044;61880716;60170933;60169181;60216418;60236706;60207677;60229908;60272211;60339722;60457940;60398003;60501743;60538448;59022019;59003372;58726546;58808972;58991787;59056307
CTBC CELULAR S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATORA MOBILE TELECOMUNICACOES LTD;22630;25630;28630;31630;34630;36080;37580;38580;39680;40780;41930;43030;44230;45630;47080;56930;57930;65432;72932;81035;89435;97935;99415;100915;102435;103552;117160;118270;128270;148270;166282;186282;191282;193182;197182;201182;209782;218782;227782;232782;240782
DATORA TELECOMUNICACOES LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EUTV CONSULTORIA E INTERMEDIAÇÃO D;;;;;;;;;;;;;;;;;;;;;;;;;;;;1654;3959;8628;10364;12130;13506;14632;16159;17269;18442;42104;43540;45071;49584
NEXTEL TELECOMUNICACOES LTDA;1606116;1699434;1820813;1908303;2002015;2084684;2125769;2249241;2375919;2462016;2500468;2507478;2483092;2477985;2435332;2471759;2458525;2463461;2467895;2481908;2510357;2516213;2548939;2588222;2604317;2626517;2601459;2607056;2576178;2571538;2569998;2596556;2622341;2617026;2668626;2787676;2779943;2874526;2940504;2975464;3017681
OI MÓVEL S.A.;10410507;10332292;10297392;10253855;10240071;10216547;10192265;10177783;49462065;49220175;49202802;48060792;47778310;47784362;47748564;47684983;47737129;47553068;47271679;47060857;46365615;45702574;45374488;42138249;41956070;42027840;42077986;42081963;42017065;42031482;41940711;42025585;41911167;41942836;40473757;38942433;38935550;38900114;38782463;38825485;38863829
PORTO SEGURO TELECOMUNICACOES S.A.;274626;297387;297858;299934;310298;329936;320993;331618;338139;338139;347853;351566;356169;357989;363921;363402;369929;367214;367396;378380;388045;395247;423548;452408;453925;476269;479603;484467;505475;517582;556436;565914;578829;572816;573406;562520;606414;615808;619324;635144;635144
SERCOMTEL CELULAR S.A.;53259;53557;55654;57535;59019;59040;60496;61537;62916;64169;64563;64948;65455;66065;66928;67951;68964;71405;71284;71836;72146;71979;70861;71474;72025;71708;71766;71629;71656;71391;70994;70419;69814;69280;68716;68217;67895;67485;66916;66587;66208
TELEFÔNICA BRASIL S.A.;80708448;81242878;81879451;82787609;83083369;82655013;82198412;81430311;79413768;79435824;79491101;73268459;73267319;73258376;73270701;73271295;73256923;73303778;73381429;73468939;73494793;73509087;73588812;73777893;73896211;73912571;73996842;74074202;74209121;74335209;74516008;74571024;74561948;74648744;74735923;74939872;74873598;74896701;75098239;75076503;75103901
TELEMIG CELULAR S.A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TERAPAR PARTICIPAÇÕES LTDA;3540;4060;4600;5100;5610;6160;6680;7180;7180;7180;7180;7180;7180;7180;7180;7180;7180;7180;7180;7180;7180;7180;7180;7180;7180;7180;0;;;;;;;;;;;;;;
TIM CELULAR S.A.;75786814;75829649;75749127;75480836;75274013;74600398;74025144;73388482;72573085;71910498;69293506;66234264;66904053;67319778;67269109;66374691;65371554;63988143;63584461;63514203;63247069;63226286;63118999;63417935;62821808;62132232;61867606;61348533;61037323;60831205;60504829;60353453;59390157;58972931;58507846;58634435;58425462;58006380;57894072;57543505;57105373
TIM NORDESTE S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNL PCS S.A.;40246685;40075582;40090928;39862801;40298729;40014663;39859222;39869119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNICEL DO BRASIL TELECOMUNICAÇÕES LTDA.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIVO S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
