Grupo;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12
ALGAR (CTBC TELECOM);462801;465815;464275;473161;483363;492764;502487;511941;517701;522316;539459;546717;552361;552102;556166;558689;562591;564519;576326;589394;608697;630675;615830;621944;624960;622786;627728;637390;646374;655762;667652;672001;674204;672537;653905;673411;675627;683604;701821;705940;725438;744798;747328;743917;733089;736831;740968;766726;801896;839640;875020;893457;906884;923457;943802;959797;971428;986136;1003751;1024699;1042124;1058194;1073665;1089337;1100674;1107270;1121038;1137815;1159408;1176641;1205384
DATORA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;1000;1250;4250;7250;10250;14250;18100;18900;19630;19630;;;;;;;;;;;;
NEXTEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;2077;9696;79623;89751;97116;120346;160864;177081;193824;216876;254911;318138;410553;523736;656825;786045;936474;1024289;1075538;1179834;1292113;1374751;1443801;1512503
OI;31296838;31761052;32044996;33308689;33874077;34241738;34508006;34760831;35185249;35463526;36054398;36186024;36341230;36555120;36700424;37022481;37168927;37269147;37384080;37357581;37621539;38280078;39272696;39552679;40409062;41442991;41566387;41675609;41510323;41537677;42081531;42841829;43691001;44661560;45484082;45655354;45965200;46469208;46976184;47402971;47771900;47661864;47969389;48375988;48833698;49362112;49237532;49438070;49520667;49493752;49649161;49770893;49708339;49821610;50048824;50013301;50100952;50170493;50216060;50435852;50367609;50579492;50671007;50854595;51081121;51095462;51267380;51426949;51296227;51527644;50917933
Outras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;880;1400;1940;2470;2980
PORTO SEGURO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000;8000;8300;8300;8300;8300;22239;35377;41377;54231;61811;65858;78586;78586;78920;79068;95273;101116;101614;103254;104112;104545;108773;112092;113323;113333;235961;236974;246720;271380
PREFEITURA DE LONDRINA/COPEL;88111;88562;90261;92027;92661;91487;90640;90436;89533;88562;85124;83996;82490;81620;80474;80395;79416;75419;76100;77129;78029;76611;78451;78879;79722;80285;80822;82266;80824;79105;76576;76297;76551;75955;77265;77281;77100;76482;76204;76875;74070;73496;72488;72099;71186;68051;69507;68857;69402;69220;71265;68299;65452;61233;65054;63867;63546;62249;61071;59176;56731;53992;51428;51349;52585;52073;51827;51682;51660;51653;53273
TELECOM ITALIA (TIM);35722089;36110370;36457944;37158182;37838854;38456613;39211337;39612224;39880742;40313582;41114714;41500158;41798350;42368249;42886139;43788082;44424855;44976339;45941728;46946628;47972907;49207109;51027625;51813847;52231747;52848704;53728328;54488578;55524929;56811635;58215450;59209980;60224649;61458962;64083149;65126458;65916842;67217384;68024647;68536385;68873683;68672340;69395736;69408234;69460373;69556821;70375950;70597829;70696608;71232161;71453175;72016401;72195067;72677853;72924141;72892399;73183060;73013411;73431175;73542521;73641359;73916805;73871048;74467845;74202921;74371788;74704562;74877242;75187877;75250704;75720577
TELEFÔNICA;45402548;45641469;45690149;46269426;46819313;47565638;48333944;48847198;49581029;50197273;51744426;52455471;52904661;53949131;54477719;55563938;55977308;56574744;57265216;57714394;58397402;58857437;60292511;60823482;61343667;62061291;62607164;63381329;64049114;65066325;66177439;67038364;68586527;69982227;71553600;72885253;73916795;74783713;75264525;75538746;75719728;76181210;76487040;76805554;76279692;75979811;76137268;75806130;75838038;75987544;76273300;76097037;76199586;76588945;77077639;76614345;77375110;77661206;77244839;77745609;78046756;78465149;78550308;79188079;79357354;79405524;79665807;79823103;79991867;80250744;79937773
TELMEX (CLARO/EMBRATEL/NET);39365638;39586955;39829942;40181066;40485821;41054538;41872828;42278198;42762592;43148350;44400900;44806542;45071589;45583222;46044159;46676907;46901528;47540659;48164610;48766711;49740391;50462421;51637685;52241261;52858529;53437973;53949775;54744893;55534398;56202208;56803489;57513598;58380588;59232374;60379502;60761283;61066484;61595980;61938763;62688017;62966248;63075082;63221392;63447145;63919513;64353443;65238342;65555652;66070644;66308256;66084450;66516631;66472435;66676386;67111046;67432269;67915035;68255566;68704019;69033217;68941694;68748907;68490921;68755380;68775877;68932133;69303898;69635860;70053453;70521507;71106993
UNICEL;18190;18916;19076;19262;19418;19597;19775;19960;20184;20300;20347;20352;20357;20357;20357;20352;20349;20344;20335;20305;20285;19655;19235;18885;18525;15532;;14565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
