UF;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12
AC;473339;474106;477067;489734;497464;504957;512467;517433;518794;521488;538339;540755;545349;556621;562784;576225;581308;590648;601732;612347;623758;635062;658802;670667;677821;688067;695962;703502;712053;724819;735276;744827;763026;783675;813950;830242;846197;864327;880034;904849;912041;926192;934342;946950;956669;956427;958104;952668;944599;941356;934402;933107;926673;931101;934263;917352;919414;918085;916781;917338;912644;908935;904894;910027;907559;897970;896553;895939;896865;903395;906477
AL;2008554;2044439;2061025;2099865;2130230;2175962;2227187;2242323;2256983;2275267;2314783;2339781;2362963;2413042;2444805;2494879;2513155;2541943;2592213;2631446;2678224;2728913;2798956;2853267;2881206;2921432;2969482;3018030;3033598;3100904;3140414;3190551;3254979;3340048;3451308;3516006;3556312;3606171;3611559;3607159;3585259;3581697;3581842;3573890;3584907;3644269;3737007;3805549;3880142;3927830;3844920;3884646;3893760;3919590;3942436;3948145;3970703;3969566;3988830;4006279;4016883;4020193;4029598;4054452;4053425;4062434;4088510;4111614;4125193;4163617;4174266
AM;2176758;2217762;2254299;2315000;2362331;2410745;2385145;2410302;2444047;2474856;2535887;2600713;2645759;2711945;2737886;2800792;2822965;2865466;2915564;2968790;3030392;3106526;3210296;3197519;3313957;3359748;3415361;3463058;3522480;3598766;3687091;3739773;3821588;3895926;3920371;3949368;3968813;3995406;4001849;3976343;3995972;4019056;4045034;4119463;4131682;4128376;4150495;4130820;4159415;4178771;4176717;4181040;4156756;4175975;4159538;4120182;4136354;4129709;4116084;4112695;4100410;4108284;4091583;4120370;4111848;4109030;4115369;4119329;4139858;4158171;4155800
AP;429878;439427;447641;463327;484908;497034;497007;498905;504463;507910;517639;524248;530800;540821;543563;556770;564159;578931;595955;610241;624286;636522;656662;645778;673751;680436;689030;700523;714154;736528;752784;769948;788889;813089;844097;858496;871713;888079;897946;903873;910746;925255;928542;935127;940949;944217;953140;949209;953246;957687;958692;954101;948621;951939;951379;937631;937626;934781;934022;935275;932941;935996;931649;932551;926982;926820;933125;934441;937176;939668;933703
BA;8912307;8986829;9049219;9196370;9356745;9499447;9709672;9822680;9923046;10030723;10263853;10410409;10544801;10743348;10862245;11092445;11229814;11364797;11411977;11565673;11838492;12149063;12561991;12823768;13054489;13334805;13661602;13979286;14238543;14447312;14689827;14895791;15136084;15387816;15857031;16044620;16208840;16389639;16543548;16711109;16831908;16871421;16945692;16984365;17011361;17034816;17131713;17168652;17232005;17330254;17393266;17460338;17451785;17591058;17729634;17702117;17832943;17898326;17960136;18094943;18145775;18217930;18237700;18333956;18343075;18366110;18459232;18518399;18568616;18648219;18719145
CE;5439930;5504845;5532927;5636609;5708923;5835368;5974148;6054703;6130739;6195697;6321736;6383731;6432959;6558736;6646430;6802084;6883553;6968274;7129595;7243112;7401146;7548460;7734210;7851285;7953421;8058738;8130209;8214622;8252464;8291640;8393155;8565357;8770602;9023719;9340320;9451742;9582943;9720910;9827722;9898807;9980529;10032972;10135484;10069312;10146790;10166658;10284331;10291248;10333526;10347521;10397838;10478532;10560387;10578626;10665478;10665129;10735844;10860281;10964485;11075527;11072726;11080576;11122032;11222688;11258991;11317501;11404036;11471870;11538334;11599097;11657610
DF;3653960;3645102;3634923;3808060;3883734;3928560;3979127;3992455;4009606;4026384;4105143;4126178;4143146;4173236;4205434;4124960;4147390;4178248;4214821;4225036;4320421;4394981;4501606;4585967;4644171;4720588;4757684;4829160;4897096;4972811;5049162;5125855;5231034;5335331;5505330;5580319;5646769;5724824;5779915;5814733;5832635;5962566;5960118;5929747;5927644;5910900;5958447;5945853;5920059;5927914;5918886;5954357;5942552;5981714;6024843;6007764;6040801;6059258;6107863;6137166;6157261;6176701;6173626;6200462;6217434;6219225;6241200;6257090;6262807;6313371;6259975
ES;2989228;3017148;3030805;3077869;3119261;3158311;3203851;3229860;3249935;3280919;3359589;3402197;3422497;3450119;3466885;3524415;3539650;3564980;3594676;3603310;3630281;3658911;3749024;3784744;3810396;3847179;3877487;3904744;3940696;3979977;4048359;4114747;4169459;4242508;4305908;4368489;4406144;4461827;4486881;4512520;4538319;4511148;4533931;4561310;4573573;4568432;4581729;4575051;4579503;4579413;4587888;4569088;4552089;4556732;4554619;4534637;4550810;4542497;4503161;4504332;4496566;4498667;4494228;4501841;4489577;4480012;4477368;4462121;4444766;4437975;4393388
GO;5025123;5038849;5041324;5225410;5304047;5369854;5458182;5489504;5523497;5546910;5702107;5755568;5796719;5860167;5929334;6182869;6230002;6311475;6419701;6490372;6615631;6717380;6874719;6996769;7085861;7194153;7241447;7344193;7435403;7536631;7649565;7765601;7904860;8061617;8288442;8408052;8502692;8632397;8709134;8788399;8851818;8749405;8731225;8746926;8803058;8833239;8932499;8948623;8947040;9006941;9018580;9084703;9066640;9129353;9191932;9177899;9248059;9268625;9319927;9366037;9369763;9378796;9371048;9421366;9420591;9419198;9450787;9500980;9563849;9592960;9579194
MA;2290884;2344273;2383691;2460699;2526516;2601075;2655848;2697548;2751163;2789011;2871408;2929169;2981055;3061028;3111296;3231647;3298171;3384876;3497146;3580607;3687124;3809434;3981782;3936583;4042115;4273012;4358169;4448495;4498522;4632740;4795750;4931428;5031921;5172695;5313540;5350087;5498539;5591566;5661620;5682966;5733335;5789574;5826749;5879154;5930753;5988554;6025379;6039804;6078075;6113386;6165545;6211768;6225229;6276896;6394383;6478590;6606764;6518783;6415868;6394975;6421758;6426204;6436721;6472122;6472374;6517469;6560606;6609417;6661021;6670725;6668921
