Empresa;UF;DDD;Tipo;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-06;2006-07;2006-08;2006-09;2006-10;2006-11;2006-12;2007-01;2007-02;2007-03;2007-04;2007-05;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01
CLARO (NÃO UNIFICADA);AC;68;Pré-pago;26816;27598;29090;32424;33471;34357;36607;38493;40239;40738;42744;43952;44770;46058;47886;50446;52208;53561;55970;56895;57738;58827;63591;63798;63556;64337;66175;69426;73108;75210;77988;80464;82959;84613;89150;90109;90872;91636;93802;95782;98901;99536;102049;104307;106135;108100;113546;114343
CLARO (NÃO UNIFICADA);AC;68;Pós-pago;3031;3316;3665;3962;4153;4432;4985;5177;5505;5802;8212;8854;9463;10026;10348;10830;11139;11591;12328;13347;14055;16124;18015;18681;19141;19561;19835;19949;20169;20323;20479;20518;20291;20160;20272;19867;19446;19105;18657;18337;17983;17834;17556;17459;17483;17350;17476;17404
CLARO (NÃO UNIFICADA);AL;82;Pré-pago;119749;123144;142873;163279;171155;177609;190921;195421;199336;202077;206331;208855;212547;221095;227238;240253;246004;254817;260932;263457;258842;271767;297497;311749;315425;326523;326922;331155;332438;338340;358886;364853;373233;381363;396598;404412;411816;416583;419900;434697;449735;457039;471658;481230;494252;504146;528660;537562
CLARO (NÃO UNIFICADA);AL;82;Pós-pago;37812;38759;41096;41998;41351;41301;42222;41968;41845;40975;42725;42428;42273;41816;42366;41906;42460;43178;43630;43944;44292;46581;50284;51148;52339;54963;59701;61663;61559;62369;63949;63889;67343;67347;68220;66786;65551;65184;64891;64219;63470;63665;65718;65269;65945;65219;66121;67241
CLARO (NÃO UNIFICADA);AM;92;Pré-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5095;16458;25117;34174;42030;54252;58818
CLARO (NÃO UNIFICADA);AM;92;Pós-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;457;3812;7177;10165;12330;14099;15397
CLARO (NÃO UNIFICADA);AM;97;Pré-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;3;13
CLARO (NÃO UNIFICADA);AM;97;Pós-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;7;36
CLARO (NÃO UNIFICADA);AP;96;Pré-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1967;3866;6639;8166
CLARO (NÃO UNIFICADA);AP;96;Pós-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;505;1184;1709;1945
CLARO (NÃO UNIFICADA);BA;71;Pré-pago;180667;192634;225414;267307;279673;287386;308702;317457;331729;345010;361626;370599;376708;399830;421095;446284;462068;474619;497540;514112;541718;552652;563778;557286;559013;554980;569181;589702;607466;623523;630212;643599;649944;662920;692031;702896;702798;699303;710615;715512;728436;735954;756560;776558;793545;808704;849139;850473
CLARO (NÃO UNIFICADA);BA;71;Pós-pago;63794;67380;67761;68045;67750;67912;68882;68273;68427;67771;77181;79711;81678;85804;89345;90363;91325;90927;93777;97067;90740;93797;101265;103110;106720;107741;108977;108714;107747;123531;123692;125302;127376;128923;130351;129619;127057;126749;124283;122628;123335;124584;126951;128669;132505;134098;137557;141492
CLARO (NÃO UNIFICADA);BA;73;Pré-pago;34827;37785;45640;54256;59773;63634;73490;77204;81763;85995;93595;96819;98609;106847;114118;125711;132289;136404;147148;154179;165078;168529;174522;173297;175462;176308;180266;186051;193443;198337;203337;207300;212235;215339;226294;231091;235220;237241;237937;244403;251788;256480;265476;273923;280856;286467;299218;304814
CLARO (NÃO UNIFICADA);BA;73;Pós-pago;1715;2094;2605;2822;2983;3204;3882;4669;5049;5622;6473;7095;7248;8054;8911;9569;10038;10423;10854;11141;11470;12351;13968;14192;14765;15192;15450;15857;15801;16427;17098;17193;17590;18374;19191;19078;19268;19828;19968;20560;21281;21324;21364;21422;22304;22806;24169;25163
CLARO (NÃO UNIFICADA);BA;74;Pré-pago;12832;13612;15792;19073;20199;21042;23842;25053;26371;27424;29824;30873;31434;33569;36178;40203;42532;44421;48490;50924;53444;54417;56813;55928;55801;54901;56364;57748;59601;62316;62338;63674;63538;64084;67773;68987;69892;69460;69880;72583;75308;76828;80234;83479;86439;88686;93439;94442
CLARO (NÃO UNIFICADA);BA;74;Pós-pago;293;316;349;370;404;424;474;582;659;900;1114;1238;1344;1660;1928;1997;2042;2130;2137;2289;2293;2365;2874;2979;3003;3228;3751;4084;4067;4214;4400;4271;4339;4503;4752;4801;4917;4852;4713;4753;4818;4767;4567;4572;4752;4825;4870;5060
