Empresa;UF;DDD;Tipo;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12
CLARO;AC;68;Pré-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229538;225882;225237;217524;213558;205293;204469;197477;198146;198850;188879;186227;183114;180729;178926;178338;174750;171059;175288;176473;174774;174156;173633;172243;173598;175373
CLARO;AC;68;Pós-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21479;21748;22157;22232;22711;22535;22802;23126;22953;23084;23179;23311;23296;23424;23278;23351;23510;23449;23477;23443;23392;23595;24188;24495;24750;25408
CLARO;AL;82;Pré-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1049662;1052485;1066158;1077040;1112682;1122039;1128159;1144175;1152835;1175319;1162228;1162918;1166032;1164426;1165296;1165748;1172230;1169678;1159813;1158380;1154427;1144539;1129104;1124398;1126970;1128827;1126850;1134047;1139566;1141416;1159877;1177047
CLARO;AL;82;Pós-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107539;105593;103452;103309;102989;102890;102936;104181;104179;104739;106075;107661;108679;108404;107974;107381;107053;106972;106763;108254;108396;109058;110320;116577;116763;115858;116451;117191;122176;121786;122741;118494
CLARO;AM;92;Pré-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150243;148430;137590;136908;133505;131977;137179;145739;143705;151103;151224;143665;148594;149541;154985;160207;155291;151308;150320;152782;158296;158945;161595;162599;175282;185162;191661;196600;196262;196502;208502;224021
CLARO;AM;92;Pós-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86511;84486;82815;82224;81348;81100;80508;81496;81395;81091;81254;81503;81653;81509;81825;82358;83261;84083;84969;86626;87047;87838;90574;90390;91000;91310;92386;94702;96892;98694;99622;102166
CLARO;AM;97;Pré-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15400;16177;15801;16081;16204;15823;16174;16850;16246;16795;16404;16381;16275;16155;16044;16280;16389;16585;16942;17247;17749;17868;18047;18466;18633;18883;19343;19792;20271;21030;21471;21705
CLARO;AM;97;Pós-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1435;1237;1055;931;854;849;828;809;776;763;754;787;860;901;933;976;961;1008;1027;1043;1067;1129;1137;1145;1144;1184;1218;1206;1186;1209;1193;1178
CLARO;AP;96;Pré-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67403;65451;65179;65907;64188;62888;63566;61244;59212;61958;62892;59077;58750;55534;52634;50598;46497;43801;41596;40837;40766;40864;41340;41549;41962;44914;47720;51608;54551;55283;58678;59422
CLARO;AP;96;Pós-pago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2453;2450;2535;2669;2777;3679;4351;5318;6108;6553;6875;7143;7244;7313;7330;7330;7253;7308;7311;7403;7272;7192;7135;6994;6936;6817;6770;6755;6931;7028;7083;7338
