Empresa;UF;DDD;Tipo;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05
CLARO;AC;68;Pré-pago;177544;184099;183944;185356;187014;187698;190067;191707;189894;187413;162866;142445;144754;145453;143628;144322;145395;148210;150982;144754;145133;142926;149104;142562;146915;142137;137811;137010;134732;132349;131576;129841;124967;122381;119709;114280;113102;103136;104702;105565;106116
CLARO;AC;68;Pós-pago;25473;25767;26270;26449;26691;27183;28171;28978;29299;30158;31606;31647;32624;32895;33876;33876;34261;34540;35097;35313;35814;36147;37431;38530;38641;38839;38806;38696;38630;38877;39452;40018;40865;42104;43440;44602;45551;46538;47850;49004;49862
CLARO;AL;82;Pré-pago;1185156;1199222;1196577;1195335;1192209;1175092;1173612;1149213;1115381;1068409;1030151;981224;959677;963760;938803;925151;919887;902814;883440;862058;846491;748481;765311;733777;727966;726114;730927;733388;730180;725243;715419;711695;705139;697092;690733;656940;650500;645341;644498;647708;647413
CLARO;AL;82;Pós-pago;118461;117701;117427;115946;113769;112755;111034;110556;109167;108569;109781;110714;111236;111730;112331;112216;111433;110964;108812;108037;108971;109838;111397;111926;111454;111081;111539;111459;111804;111170;112120;114186;116584;118845;123260;124909;127652;130880;134361;137679;139676
CLARO;AM;92;Pré-pago;219064;219848;230141;236057;235280;223648;215242;213586;198646;182503;171420;175774;171669;165087;158297;150890;148985;138952;136390;134371;132497;128747;138713;135959;144813;148383;153853;158448;159070;161707;160343;162952;165638;168178;168500;168021;170560;173613;180903;187048;195795
CLARO;AM;92;Pós-pago;104131;105656;109367;111305;112269;112968;113506;112562;110004;108626;109868;108578;109687;109903;109635;108408;107430;106072;106338;105994;108655;108770;109767;110365;109570;108998;107698;106653;107053;106993;108770;110160;114466;126805;129557;131308;132597;134870;138505;141560;144099
CLARO;AM;97;Pré-pago;22515;23077;23767;23460;23542;23739;24190;24563;24496;24469;24759;25749;25852;25996;25732;24700;24009;25240;36322;49088;62001;68109;75821;84349;90377;95353;102435;104607;108444;112651;115445;119497;123653;127708;129511;131305;134795;138194;144540;149051;153552
CLARO;AM;97;Pós-pago;1205;1263;1308;1303;1376;1391;1444;1460;1487;1531;2099;1606;1722;1619;1600;1592;1538;1545;1740;1864;2086;2315;2658;3297;3753;4142;4571;5138;5615;6094;6668;7037;7733;8252;8591;9138;9829;10715;11618;12400;12860
CLARO;AP;96;Pré-pago;57510;57429;58488;56137;57103;55807;58042;58833;57160;54844;48557;46813;41461;42795;42396;40617;40318;39612;39133;38433;38206;36336;38138;36613;37338;39131;41003;42651;42708;43834;44156;45002;47390;49650;51364;53691;55393;56293;57990;60025;63084
CLARO;AP;96;Pós-pago;7330;7531;7412;7707;7925;7997;8016;8067;7954;7630;7452;7376;7376;7199;7168;6966;6931;6775;6582;6418;6437;6282;6460;6678;6749;6868;6910;6872;6963;6950;7137;7377;7777;8278;8911;9600;10223;10823;11524;12096;12507
