,UF,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC,912442.0,923119.0,922677.0,932771.0,944025.0,942389.0,941643.0,935138.0,905954.0,904352.0,878663.0,805497.0,801796.0,800357.0,805323.0,806233.0,811217.0,812591.0,815301.0,802895.0,793918.0,788376.0,796101.0,788933.0,791124.0,788086.0,785959.0,787299.0,785220.0,783289.0,782371.0,783313.0,775804.0,775020.0,771103.0,768863.0,769816.0,761926.0,768072.0,772606.0,778684.0
2,AL,4188841.0,4202556.0,4214715.0,4223417.0,4226581.0,4198852.0,4176732.0,4120696.0,4050452.0,3999272.0,3911235.0,3739032.0,3723315.0,3730969.0,3710376.0,3680785.0,3658362.0,3606026.0,3575432.0,3548304.0,3519769.0,3410693.0,3418788.0,3330071.0,3317256.0,3308307.0,3314644.0,3304377.0,3288455.0,3280936.0,3265561.0,3261347.0,3236031.0,3227406.0,3175102.0,3103182.0,3095690.0,3088941.0,3084390.0,3086454.0,3079709.0
3,AM,4167710.0,4204295.0,4263142.0,4286302.0,4303235.0,4270268.0,4261229.0,4221941.0,4104287.0,4034336.0,3992356.0,3709617.0,3722347.0,3717823.0,3677200.0,3611673.0,3571337.0,3553883.0,3556120.0,3527535.0,3503549.0,3487403.0,3493496.0,3472465.0,3463008.0,3455859.0,3455106.0,3450926.0,3447345.0,3438993.0,3436026.0,3435476.0,3433434.0,3442773.0,3451446.0,3460176.0,3471171.0,3488092.0,3526928.0,3546635.0,3573328.0
4,AP,928702.0,930403.0,937862.0,938156.0,941182.0,933561.0,930377.0,924863.0,901150.0,893157.0,878577.0,803412.0,796991.0,794486.0,738375.0,791801.0,775496.0,769455.0,765837.0,759453.0,754243.0,747255.0,742253.0,731340.0,727613.0,724987.0,722784.0,721780.0,719443.0,717675.0,719076.0,718137.0,712627.0,710891.0,705464.0,707503.0,708496.0,711601.0,717573.0,724297.0,729130.0
5,BA,18849876.0,18885772.0,18977729.0,18941650.0,18960107.0,18748837.0,18690241.0,18512925.0,18214997.0,17972631.0,17657968.0,16636911.0,16602368.0,16707566.0,16777365.0,16755934.0,16695431.0,16546903.0,16464352.0,16414341.0,16311062.0,15918744.0,15925303.0,15484941.0,15449062.0,15411313.0,15381038.0,15310562.0,15258847.0,15241742.0,15195086.0,15167868.0,15072694.0,14998803.0,14835522.0,14450344.0,14481822.0,14434749.0,14399014.0,14366644.0,14319804.0
6,CE,11901601.0,11932570.0,11781282.0,11769812.0,11821519.0,11701507.0,11658799.0,11652963.0,11515593.0,11325567.0,11130627.0,10818561.0,10750765.0,10817920.0,10803976.0,10690688.0,10580675.0,10465043.0,10431697.0,10387815.0,10337698.0,10055938.0,10105597.0,9813879.0,9774966.0,9703137.0,9651462.0,9589216.0,9540992.0,9551090.0,9556957.0,9565918.0,9513443.0,9502691.0,9359317.0,9158116.0,9135515.0,9093780.0,9066302.0,9080350.0,9048745.0
7,DF,6277998.0,6299380.0,6325391.0,6312535.0,6328241.0,6318634.0,6294970.0,6282960.0,6182038.0,6111513.0,6056171.0,5615044.0,5601246.0,5598960.0,5616455.0,5595641.0,5585073.0,5567786.0,5550971.0,5516889.0,5430266.0,5386212.0,5315519.0,5260985.0,5229751.0,5214939.0,5213498.0,5199498.0,5203984.0,5194420.0,5171086.0,5170250.0,5126416.0,5103349.0,5034734.0,4948868.0,4941265.0,4920915.0,4894182.0,4867115.0,4840355.0
8,ES,4417825.0,4434188.0,4430762.0,4451064.0,4475018.0,4454517.0,4434395.0,4400752.0,4297885.0,4281075.0,4258344.0,3911738.0,3984528.0,4018594.0,3997710.0,3942538.0,3909537.0,3938342.0,3929169.0,3935287.0,3915505.0,3887461.0,3875487.0,3841782.0,3840144.0,3820149.0,3815816.0,3805707.0,3809344.0,3807302.0,3806131.0,3800734.0,3800925.0,3801714.0,3800669.0,3805715.0,3811248.0,3800592.0,3812355.0,3811720.0,3835513.0
9,GO,9615574.0,9608031.0,9611304.0,9582480.0,9578251.0,9561321.0,9584139.0,9561071.0,9414960.0,9301387.0,8934023.0,8533639.0,8567942.0,8581859.0,8590453.0,8592615.0,8580043.0,8544557.0,8540713.0,8512226.0,8461165.0,8204140.0,8297730.0,8173324.0,8151992.0,8140530.0,8107536.0,8083878.0,8095609.0,8105625.0,8117763.0,8157668.0,8093841.0,8071970.0,8045564.0,7935820.0,7919056.0,7858305.0,7857435.0,7863867.0,7865951.0
