,Empresa,Grupo_Telecom,Região_do_Estado,DDD,Estado,Tecnologia_Utilizada,Tipo_Tecnologia ,periodo201501,periodo201502,periodo201503,periodo201504,periodo201505,periodo201506,periodo201507,periodo201508,periodo201509,periodo201510,periodo201511,periodo201512,periodo201601,periodo201602,periodo201603,periodo201604,periodo201605,periodo201606,periodo201607,periodo201608,periodo201609,periodo201610,periodo201611,periodo201612,periodo201701,periodo201702,periodo201703,periodo201704,periodo201705,periodo201706,periodo201707,periodo201708,periodo201709,periodo201710,periodo201711,periodo201712,periodo201801
1,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Centro-Oeste,64.0,GO,CDMA,Banda Estreita Móvel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Centro-Oeste,64.0,GO,Dados Banda Larga,Banda Larga Móvel,1073.0,983.0,905.0,826.0,751.0,692.0,634.0,577.0,513.0,471.0,437.0,387.0,353.0,320.0,297.0,283.0,268.0,250.0,235.0,214.0,212.0,205.0,188.0,171.0,162.0,151.0,139.0,129.0,122.0,116.0,111.0,105.0,100.0,96.0,86.0,77.0,75.0
7,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Centro-Oeste,64.0,GO,GSM,Banda Estreita Móvel,7810.0,7704.0,7604.0,7500.0,7416.0,7312.0,7234.0,7119.0,7027.0,6940.0,6833.0,6748.0,6652.0,6566.0,6491.0,6405.0,6333.0,6287.0,6230.0,6153.0,6095.0,5984.0,5884.0,5755.0,5632.0,5534.0,5470.0,5407.0,5353.0,5132.0,5057.0,4940.0,4832.0,4734.0,4631.0,4482.0,4013.0
10,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Centro-Oeste,64.0,GO,M2M Especial,Banda Estreita Móvel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Centro-Oeste,64.0,GO,M2M Padrão,Banda Estreita Móvel,635.0,627.0,647.0,625.0,646.0,671.0,674.0,772.0,710.0,735.0,729.0,779.0,715.0,722.0,754.0,751.0,751.0,753.0,750.0,750.0,758.0,768.0,778.0,788.0,797.0,797.0,801.0,810.0,713.0,733.0,738.0,839.0,837.0,737.0,764.0,743.0,768.0
13,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Centro-Oeste,64.0,GO,WCDMA,Banda Larga Móvel,40480.0,42583.0,44595.0,46014.0,46574.0,46883.0,47299.0,48153.0,48938.0,49481.0,50205.0,51407.0,52699.0,53547.0,53857.0,54129.0,54770.0,55114.0,55340.0,55388.0,55440.0,55522.0,55643.0,55977.0,55637.0,56179.0,55963.0,55924.0,55942.0,56526.0,57117.0,56925.0,57092.0,56868.0,56688.0,57027.0,57044.0
15,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Centro-Oeste,67.0,MS,CDMA,Banda Estreita Móvel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Centro-Oeste,67.0,MS,Dados Banda Larga,Banda Larga Móvel,197.0,186.0,171.0,160.0,148.0,145.0,134.0,119.0,116.0,109.0,94.0,91.0,85.0,79.0,107.0,105.0,105.0,103.0,93.0,86.0,84.0,81.0,79.0,76.0,74.0,73.0,70.0,67.0,66.0,60.0,58.0,56.0,51.0,44.0,39.0,31.0,27.0
21,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Centro-Oeste,67.0,MS,GSM,Banda Estreita Móvel,1409.0,1386.0,1363.0,1339.0,1321.0,1303.0,1289.0,1270.0,1248.0,1234.0,1222.0,1209.0,1200.0,1185.0,1144.0,1133.0,1124.0,1119.0,1108.0,1095.0,1086.0,1067.0,1054.0,1029.0,1020.0,1003.0,997.0,988.0,977.0,940.0,921.0,903.0,889.0,871.0,855.0,836.0,786.0
24,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Centro-Oeste,67.0,MS,M2M Especial,Banda Estreita Móvel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Centro-Oeste,67.0,MS,M2M Padrão,Banda Estreita Móvel,40.0,40.0,41.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,2.0
27,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Centro-Oeste,67.0,MS,WCDMA,Banda Larga Móvel,5176.0,5417.0,5946.0,6289.0,6447.0,6513.0,6527.0,6718.0,6777.0,6788.0,6775.0,6922.0,6977.0,7074.0,7203.0,7351.0,7559.0,7744.0,8046.0,8310.0,8511.0,9085.0,9323.0,9653.0,9683.0,9885.0,9913.0,9986.0,10031.0,10063.0,10056.0,10042.0,10026.0,9913.0,9835.0,9921.0,10019.0
29,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Sudeste,16.0,SP,CDMA,Banda Estreita Móvel,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Sudeste,16.0,SP,Dados Banda Larga,Banda Larga Móvel,3371.0,3194.0,2963.0,2813.0,2655.0,2517.0,2362.0,2230.0,2093.0,1941.0,1842.0,1747.0,1676.0,1584.0,1522.0,1459.0,1389.0,1323.0,1256.0,1194.0,1164.0,1153.0,1114.0,1060.0,990.0,952.0,907.0,880.0,863.0,836.0,801.0,762.0,738.0,695.0,637.0,589.0,563.0
35,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Sudeste,16.0,SP,GSM,Banda Estreita Móvel,20608.0,20294.0,19895.0,19574.0,19161.0,18771.0,18367.0,17846.0,17362.0,17051.0,16654.0,16270.0,15935.0,15636.0,15374.0,15152.0,14905.0,14691.0,14504.0,14266.0,14067.0,13741.0,13454.0,13075.0,12700.0,12435.0,12254.0,12093.0,11918.0,11281.0,11012.0,10672.0,10351.0,10065.0,9765.0,9352.0,8669.0
38,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Sudeste,16.0,SP,M2M Especial,Banda Estreita Móvel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Sudeste,16.0,SP,M2M Padrão,Banda Estreita Móvel,1529.0,1522.0,1506.0,1479.0,1485.0,1498.0,1479.0,1476.0,1470.0,1474.0,1469.0,1473.0,1475.0,1450.0,1451.0,1437.0,1428.0,1432.0,1431.0,1440.0,1473.0,1513.0,1507.0,1424.0,1419.0,1420.0,1415.0,1544.0,1538.0,1550.0,1699.0,1727.0,1732.0,1704.0,1688.0,1698.0,1796.0
41,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Sudeste,16.0,SP,WCDMA,Banda Larga Móvel,67698.0,69460.0,71603.0,73560.0,74920.0,75735.0,77643.0,80481.0,81348.0,81417.0,80775.0,82862.0,83887.0,84526.0,84920.0,85284.0,85543.0,86400.0,87047.0,87744.0,88351.0,88981.0,90008.0,91448.0,91151.0,91555.0,90800.0,90224.0,90201.0,90415.0,90154.0,89278.0,88317.0,87404.0,87289.0,87798.0,88319.0
43,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Sudeste,17.0,SP,CDMA,Banda Estreita Móvel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Sudeste,17.0,SP,Dados Banda Larga,Banda Larga Móvel,298.0,300.0,274.0,273.0,252.0,236.0,223.0,218.0,208.0,186.0,209.0,201.0,197.0,182.0,178.0,186.0,184.0,176.0,171.0,160.0,164.0,159.0,153.0,148.0,141.0,140.0,137.0,138.0,138.0,137.0,135.0,121.0,121.0,119.0,115.0,111.0,109.0
49,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Sudeste,17.0,SP,GSM,Banda Estreita Móvel,3534.0,3478.0,3393.0,3328.0,3242.0,3153.0,3092.0,3005.0,2929.0,2870.0,2800.0,2711.0,2651.0,2602.0,2558.0,2533.0,2494.0,2456.0,2416.0,2364.0,2334.0,2284.0,2240.0,2179.0,2134.0,2077.0,2058.0,2028.0,2004.0,1878.0,1839.0,1772.0,1726.0,1690.0,1649.0,1592.0,1526.0
52,ALGAR CELULAR S/A,ALGAR (CTBC TELECOM),Sudeste,17.0,SP,M2M Especial,Banda Estreita Móvel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
