Autorizada;CNPJ;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07
1000 SOM SEGURANCA ELETRONICA LTDA;10.675.680/0001-05;99;108;119;113;117;127;101;129;94;0;0;0;0;0;0;0;0;0;0;0;147;145;147;142;139;125;135;120;113;136;120;128;120;0;0;0;0;0;0;0;0;0;0
14TELECOM LTDA;14.049.742/0001-16;130;240;240;240;320;322;322;322;322;336;352;0;360;371;371;378;378;400;400;404;404;409;409;415;425;425;439;445;445;270;408;428;428;393;487;416;416;416;416;640;640;643;643
1TELECOM SERVICOS DE TECNOLOGIA EM INTERNET LTDA;11.844.663/0001-09;68;76;83;79;84;84;84;93;95;105;105;119;121;121;135;141;151;151;149;199;225;225;225;225;0;313;313;313;313;313;313;313;313;330;330;415;415;415;460;505;530;574;609
2B TECNOLOGIA EM INFORMATICA LTDA.;11.212.021/0001-97;503;567;444;458;301;431;351;471;383;328;365;462;417;420;0;541;543;503;487;521;479;482;482;0;476;0;475;484;483;489;496;503;510;513;509;0;471;0;496;0;0;0;0
2I SERVICOS DE TELECOMUNICACOES DO BRASIL LTDA;08.190.471/0001-11;300;358;371;322;322;383;377;411;458;579;347;374;0;332;438;361;324;348;272;252;232;0;0;0;226;0;190;212;130;204;170;0;158;150;200;216;176;164;154;152;174;178;168
3 AMIGOS PROVEDOR DE INTERNET E SERVICOS TELECOM LTDA - ME;14.803.279/0001-56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;204;204;205;205;205;0
3 NET TELECOMUNICAÇÕES LTDA ME;07.285.220/0001-58;787;1014;974;1020;1014;1054;1013;926;928;863;812;788;731;698;684;717;707;741;743;768;1401;1424;1427;1416;1397;1596;1598;1549;1542;1516;1500;1487;1487;1468;1454;1434;1401;1394;1375;1375;1382;1398;1416
3C TELECOM LTDA -ME;10.287.042/0001-09;15;20;20;20;16;16;18;16;14;14;15;15;15;17;17;15;15;15;15;15;15;16;15;15;11;11;11;9;9;8;9;9;9;9;9;8;9;10;27;28;28;29;29
3CS SERVICOS DE INFORMATICA LTDA - ME;08.950.064/0001-65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182;182;221;239;223;223;223;315;333;323;345;345;345
3D TELECOMUNICAÇÕES LTDA;08.974.128/0001-68;960;978;980;986;986;998;1004;1006;1008;1011;1019;1020;1024;1027;1031;0;1028;1029;1027;985;987;0;988;1015;1006;1010;1044;1081;0;1105;1139;1145;1195;1199;1207;1199;1192;1250;1265;1269;1264;1282;1372
