UF;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07
AC;46893;47763;48242;48492;49163;49408;49771;50097;50433;50941;50861;51141;51421;51873;51889;52624;52859;53257;53184;53571;53781;54315;54656;54359;55091;55423;56401;57364;57659;58506;59083;59201;60618;60380;61255;61286;61753;62775;63647;63882;64728;65560;66262
AL;147214;147700;148365;148651;149342;148858;149318;150183;151015;149585;149892;147791;147359;148023;149056;148407;148715;148888;149212;149186;149449;148848;149952;149711;153171;152726;154947;155281;155508;156924;157380;157062;157794;157344;159617;161547;161012;162471;163267;165808;170824;164804;167746
AM;195420;201179;206077;211151;215305;220187;224994;228710;234368;238132;241199;243627;245027;248511;251554;254386;258235;260240;263785;263639;264720;265909;268925;267243;267227;265961;268045;268356;269678;272625;274035;275193;275402;276511;277815;281829;288168;288186;295505;299182;302040;301209;303530
AP;20470;32841;35758;36882;38592;39286;21991;43884;34913;53335;24076;48722;47668;48858;50187;51031;52553;49315;41538;53107;55325;57910;54839;58337;54191;54672;56857;57863;58335;58553;61568;61093;61384;61295;65005;65150;63241;65040;62152;64609;65014;62844;65678
BA;770922;776873;779676;780431;782792;783061;788039;789128;793838;803407;795143;789455;793306;795517;798098;798824;804268;810884;812801;820429;813955;818831;817855;819858;828649;825652;827341;826448;827857;838891;844201;857169;859892;866583;880472;894374;912710;918836;931670;951979;955525;965088;978813
CE;577746;588541;584068;582926;592079;593073;595681;594029;603011;594424;595474;582170;595985;587513;597732;591965;593335;595155;604172;604152;596986;600035;601960;590600;616513;628038;615704;630807;663453;676938;692422;694075;697712;702601;716812;739635;745980;746131;746372;759022;771609;782914;793651
DF;600870;606753;610288;618308;619602;623135;626503;632223;637459;636724;635166;632185;633437;638798;642577;645893;646315;651200;653396;657172;658668;659956;652380;652449;671186;674511;680152;680240;684140;688382;693277;696172;698554;699881;703427;706475;709799;713436;716126;716606;719907;724372;727091
ES;452241;451757;460758;463722;461658;472182;473551;478857;478804;475239;474209;470858;472388;476122;474676;478149;479495;483235;485574;487666;487308;485827;490054;488164;490514;501696;509722;517853;522132;529240;532872;533787;541268;544946;551445;561624;557482;557103;554870;560195;563628;566938;564057
GO;723934;730559;740439;749329;758439;766925;773800;769427;778299;782054;784618;785053;784442;786068;791911;797308;811047;808854;823894;831099;835215;836205;847388;850153;857399;862283;875111;877951;886711;896949;909840;916833;920897;922224;930445;945726;962460;960829;975556;979691;978460;993292;988749
MA;180334;181430;183645;185451;186770;187907;189771;191402;193558;195135;194694;194679;196303;198178;199278;201556;203037;204863;206904;209704;212020;211859;218463;220509;219558;222483;224099;228458;228356;233809;236506;236306;241302;257661;263239;268931;276466;279081;283688;286056;286070;290003;288785
MG;2290895;2297249;2271249;2309198;2344684;2332845;2361764;2375190;2406187;2386098;2404054;2408474;2408259;2449801;2462401;2472234;2508540;2518303;2567985;2566417;2581416;2601653;2608192;2622302;2632353;2623568;2660073;2677278;2720760;2746174;2748991;2798227;2806102;2825474;2847077;2896783;2933268;2944452;3028731;3090844;3090640;3126525;3135493
MS;303662;313621;314332;315861;320265;322372;324347;325985;328387;329641;329772;329232;331001;333627;335570;338190;340834;391301;347145;348753;351537;350933;351285;347845;352299;357510;361167;362632;367041;370230;374543;376252;377566;382251;386675;391747;401031;402998;403602;405872;411130;412995;417735
MT;299312;303336;306906;309755;312968;315317;316539;316687;321779;324869;327255;327596;331013;332125;335763;336820;345601;349180;351657;355294;356155;357067;356393;359670;350291;354763;371872;369521;374001;372294;375146;376679;382589;386643;390293;393490;392194;398565;402321;403762;405581;412028;411826
PA;257497;257596;258493;260539;262353;265526;267124;269553;272885;275926;279603;279820;282632;285492;286994;288829;293216;297017;298907;298427;299327;298892;302008;302305;304101;307380;310835;317736;322294;324679;329777;333006;335718;343257;351100;352787;360016;367053;368638;373973;379469;376104;380292
PB;231426;233846;235576;237760;238744;239265;240531;241870;245462;246333;246773;246320;248096;248965;251174;249622;250846;254516;258509;259089;259162;259223;255395;256297;265704;265069;266881;271439;275891;277560;278530;285098;284512;286394;288723;290096;305773;310068;311826;320786;321074;328669;323036
