DDD;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12
11;22082089;22321825;22543290;22904390;23187905;23567997;23944712;24227252;24618839;24915879;25471494;25683173;25756453;26000345;26218593;26549680;26655704;26706750;26923968;27131534;27444040;27740593;28343823;28329536;28554155;28938722;28993476;29247640;29388062;29625555;30066726;30494218;31207297;31809070;32436015;32731704;32967960;33391681;33679960;34055121;34247039;34147241;34326092;34340813;33953725;33937650;33832397;33986356;34038420;34261217;34306968;34301625;34336646;34368704;34451271;34507532;34730934;34746227;34714972;34891114;35000507;35250804;35286214;35680857;35732012;35808884;36008313;36310507;36547027;36731092;36589089
12;1912268;1939325;1973691;2016204;2051699;2084769;2128383;2159529;2198877;2224940;2300338;2320730;2337131;2376051;2414706;2477258;2516778;2584052;2640058;2672534;2704923;2736635;2811591;2858123;2867635;2900738;2927155;2944703;2997700;3057550;3104284;3157845;3202226;3265766;3365853;3396477;3409388;3442695;3457381;3462088;3485361;3479801;3517858;3516470;3526747;3547442;3521897;3522985;3545706;3528879;3544295;3559125;3576927;3619036;3628400;3609270;3614449;3626493;3590563;3610022;3616952;3655722;3650899;3666392;3667176;3665113;3691303;3691347;3699835;3713934;3732445
13;1591645;1605919;1622126;1643417;1654409;1672635;1697043;1719409;1753228;1778563;1833386;1856236;1869238;1896962;1926333;1953192;1965673;1984377;2005231;2013543;2040680;2062491;2114396;2143836;2154019;2201656;2211079;2224092;2241353;2270850;2308517;2344720;2393848;2437831;2497953;2528253;2551649;2583366;2601301;2609406;2612977;2597463;2616678;2632053;2628524;2642297;2612423;2621175;2639839;2649765;2644019;2652712;2655544;2673634;2703858;2714533;2737219;2752258;2696591;2726185;2743497;2758147;2769210;2785669;2782172;2777928;2784829;2790503;2798073;2804938;2799800
14;1786809;1804918;1824092;1847318;1863136;1889205;1919607;1940800;1976210;2002568;2075370;2092414;2101369;2119273;2134898;2166048;2189422;2227344;2260140;2273070;2307159;2342228;2408648;2439254;2455123;2503765;2538220;2557550;2609170;2655969;2692043;2728749;2771212;2821549;2902905;2950326;2967903;2999927;3012229;3015040;3031627;3036864;3041803;3041240;3024628;3015867;3014193;3014399;3023122;3014144;3022463;3019295;3017129;3031519;3035847;3027957;3033163;3024569;3008152;3011613;3005401;3008607;2994573;3017926;3023291;3045361;3089601;3093311;3100684;3101594;3104523
15;1405923;1419035;1433672;1453537;1469159;1492829;1517256;1536443;1565511;1584482;1637169;1654974;1663888;1684814;1701321;1728054;1740478;1760840;1785127;1800325;1825119;1857389;1911073;1935388;1942689;1974334;1996138;2023020;2053586;2086994;2126072;2157211;2216702;2266666;2342295;2378556;2397474;2444770;2456401;2488133;2507733;2515952;2529267;2524436;2523085;2530086;2537318;2545778;2549666;2562324;2528920;2516183;2503803;2524277;2552586;2563238;2598113;2629640;2622234;2624272;2616478;2620616;2623615;2662644;2676318;2682813;2688526;2685790;2685240;2689763;2658605
16;2398776;2414863;2437249;2464423;2491701;2529252;2568921;2595339;2624675;2645968;2724172;2734356;2744003;2768226;2785205;2814887;2839532;2881499;2925294;2937403;2974495;3018135;3097461;3124269;3154913;3185068;3219084;3238154;3287887;3349636;3407865;3446961;3504042;3581329;3689736;3737400;3768790;3820946;3851900;3899199;3926322;3952999;4020691;4048117;4093822;4076682;4081738;4070634;4083871;4084269;4040489;4049895;4042116;4068709;4098992;4096054;4103697;4093590;4077161;4097953;4108862;4116216;4119680;4144055;4144396;4159732;4176108;4198558;4210338;4212641;4223453
17;1562363;1575444;1589495;1610940;1622477;1643342;1667845;1686414;1710106;1731374;1789474;1803181;1813039;1830855;1845397;1871470;1893068;1921357;1953875;1970540;2005630;2033218;2087177;2108705;2119840;2146182;2174785;2196154;2227886;2254622;2287733;2319911;2336866;2387614;2460688;2476779;2506368;2547228;2574941;2608665;2634858;2649380;2669756;2679514;2688888;2698096;2705272;2716027;2730389;2735229;2742457;2759615;2764185;2789573;2802612;2804499;2832375;2840925;2862990;2886318;2896363;2906555;2915468;2948850;2968339;2965858;2997506;3012486;3028916;3048381;3076115
18;1373495;1386715;1402429;1421961;1438263;1457985;1484386;1503951;1532194;1555959;1606683;1627500;1638521;1659461;1676413;1701773;1721864;1744215;1772385;1786350;1818386;1841834;1894062;1912807;1919325;1959964;1992306;2021017;2044784;2072004;2104470;2133946;2175065;2212114;2280926;2306443;2329416;2361095;2379164;2400056;2415555;2432650;2441972;2440273;2428592;2421039;2420296;2416514;2423645;2421336;2416879;2416777;2411446;2423741;2430786;2423889;2439299;2430146;2431278;2434244;2424377;2434888;2428461;2438259;2432968;2421915;2432344;2427724;2428408;2440245;2449426
19;4458031;4498761;4555942;4613532;4644917;4712932;4797109;4851296;4912515;4945955;5074216;5111659;5144903;5200173;5247352;5314081;5364301;5429497;5503346;5559436;5655354;5762728;5921934;6013893;6128045;6227362;6322427;6435058;6550740;6731106;6884112;7005849;7200666;7349215;7575057;7653006;7763827;7844067;7882704;7940847;8086357;8164409;8251681;8360647;8407253;8443823;8426989;8476640;8546505;8606707;8705719;8889508;9007054;9127492;9214096;9202212;9165384;9096346;9081242;9137243;9125783;9172536;9178265;9232361;9242213;9260929;9297353;9366498;9395034;9481398;9469041
21;12062425;12117703;12170147;12273337;12304092;12375675;12486996;12551422;12639510;12718507;12973623;13077867;13106841;13159857;13203513;13337640;13364739;13391613;13500792;13558162;13699381;13843638;14185981;14323313;14408785;14551795;14716656;14855157;15047470;15208743;15561571;15836597;16101809;16407576;16851192;17028472;17154889;17376508;17431033;17590861;17571791;17570437;17602936;17666812;17701839;17718718;17865216;17931319;17952579;18055816;18154020;18231126;18343692;18490920;18603832;18562205;18667319;18702332;18743165;18746731;18781334;18813501;18811271;18979616;19045236;19086923;19172409;19268707;19305638;19347260;19329490
22;1945975;1961558;1971530;2000635;2016085;2036535;2065843;2076646;2082348;2091553;2139025;2157966;2159813;2174354;2180682;2207716;2220605;2240149;2261906;2280441;2304795;2321941;2371828;2390715;2415327;2441941;2462013;2511985;2541436;2543625;2596376;2640054;2673154;2711228;2777255;2815247;2838851;2877058;2893970;2924466;2931351;2939426;2956130;2969862;2964443;2952537;2969864;2966524;2973609;2986213;2999165;2994649;2995679;3006621;3006925;2994723;3009491;3015643;3013858;3024751;3017086;3014019;2999401;3003887;2999683;2999173;3006718;3006291;3005825;3011556;3010403
24;1382392;1392721;1403609;1425419;1439636;1458833;1480387;1490985;1505387;1517162;1563825;1577868;1580919;1584647;1589420;1609034;1617146;1627234;1643686;1656157;1676342;1693247;1743040;1759144;1773687;1793185;1810725;1830908;1853531;1871013;1909700;1945569;1985727;2023764;2084652;2116524;2133773;2162532;2176736;2206647;2215573;2218716;2229955;2235227;2243611;2244923;2271467;2275550;2297724;2302632;2318579;2324275;2327183;2336614;2337962;2337158;2354507;2363603;2375381;2389349;2383244;2387160;2372173;2381098;2380971;2387015;2398327;2400458;2404088;2421900;2430274
27;2549181;2573724;2585954;2627449;2664104;2698935;2738814;2761466;2777233;2804439;2870538;2906603;2923464;2946184;2960842;3010823;3023230;3043012;3066306;3069683;3090378;3113778;3191438;3220873;3242762;3273530;3298546;3320294;3349167;3379360;3435409;3489910;3536513;3600351;3653545;3706691;3737857;3785672;3808263;3831573;3856661;3830266;3847844;3870756;3880018;3875770;3887311;3882060;3885352;3885332;3893147;3877492;3862675;3866043;3864523;3845402;3857771;3849125;3813464;3813224;3804716;3807298;3805817;3813891;3803091;3793461;3789771;3772225;3751917;3742016;3700608
28;440047;443424;444851;450420;455157;459376;465037;468394;472702;476480;489051;495594;499033;503935;506043;513592;516420;521968;528370;533627;539903;545133;557586;563871;567634;573649;578941;584450;591529;600617;612950;624837;632946;642157;652363;661798;668287;676155;678618;680947;681658;680882;686087;690554;693555;692662;694418;692991;694151;694081;694741;691596;689414;690689;690096;689235;693039;693372;689697;691108;691850;691369;688411;687950;686486;686551;687597;689896;692849;695959;692780
31;7038820;7052859;7067498;7078993;7103039;7165337;7254988;7317231;7427272;7533647;7705761;7756636;7782439;7866907;7919278;8010397;8037015;8106243;8195455;8246500;8327588;8445425;8718561;8857087;8904383;8988909;9007332;9038681;9130268;9236816;9373276;9512259;9687722;9882550;10138506;10264332;10332005;10419647;10481506;10537694;10490808;10377369;10434795;10472945;10491088;10556522;10695522;10705580;10715138;10731229;10740122;10771260;10758058;10787148;10812066;10777560;10824972;10860879;10886661;10921028;10923920;10951626;10935209;10978205;10986613;11009676;11042296;11059121;11067497;11107971;11117074
