DDD;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;36734254;36903419;37013770;37095291;37156638;37114513;37000166;36912659;36429670;36399422;36055163;34799732;34724091;34897119;34890302;34737067;34768464;34560390;34470748;34600727;34616216;34354489;34440487;33997124;34004668;34024578;34179749;34216329;34313362;34478927;34615666;34765717;34758198;34861451;34768254;34636833;34646112;34769980;34947814;34994821;35087812
12;3758231;3763919;3761843;3776353;3773455;3765934;3731588;3706655;3648021;3617600;3573688;3455144;3466672;3459004;3445511;3415494;3377415;3336481;3304172;3287896;3252366;3199338;3209504;3164335;3211005;3206259;3214993;3196325;3182025;3193591;3194732;3185011;3157841;3188738;3161409;3118383;3110784;3102256;3086303;3071218;3037463
13;2817206;2846060;2860507;2867222;2889047;2881239;2867707;2855915;2811290;2805965;2773412;2672610;2654195;2661129;2655686;2633968;2612996;2585629;2572980;2565660;2555436;2517704;2562922;2545121;2553916;2558019;2561588;2560822;2579370;2580574;2586382;2583343;2566973;2560519;2532934;2525729;2516680;2510273;2501163;2484526;2475878
14;3112830;3122226;3123573;3122140;3119633;3104281;3091934;3064637;2996574;2974245;2949375;2836561;2809808;2802530;2783277;2755226;2735096;2722798;2711620;2725671;2714221;2730974;2774558;2764989;2749792;2736821;2732704;2733147;2742824;2754666;2754882;2754490;2746214;2743250;2741658;2739158;2733526;2715947;2714722;2736508;2759766
15;2667134;2677219;2689735;2706106;2707056;2689269;2669422;2654486;2591983;2593299;2572050;2472444;2458721;2453983;2443969;2419205;2399495;2382097;2362488;2342704;2327835;2304235;2303546;2285371;2276295;2264566;2259476;2258134;2262381;2254880;2262250;2269176;2272034;2273882;2272659;2268220;2258612;2254539;2271892;2259228;2250536
16;4230595;4231363;4236073;4246578;4267785;4258354;4259212;4249089;4188396;4158471;4093430;4025090;3978510;3985506;3977208;3942840;3920180;3896068;3872357;3862170;3889972;3805384;3849372;3854845;3841237;3848272;3838472;3846211;3841778;3836537;3833021;3837515;3817424;3793305;3762662;3738987;3715670;3688713;3676212;3733491;3759606
17;3085546;3093017;3090164;3084989;3087926;3080607;3066638;3042573;2997254;2978300;2950723;2863649;2847431;2845366;2852416;2834763;2820886;2807622;2779623;2766333;2748229;2685794;2694844;2677473;2664302;2652863;2673770;2672217;2663821;2654502;2696258;2711211;2696667;2682489;2658566;2642455;2627822;2606705;2595659;2588935;2575398
18;2454424;2459842;2458430;2464627;2465263;2448728;2434603;2408461;2355028;2331661;2305625;2220952;2215773;2205329;2193865;2169017;2150628;2135175;2122348;2109632;2091992;2058570;2067781;2053188;2040875;2049889;2047349;2044838;2044441;2037139;2034651;2034323;2031375;2023245;2014501;2008423;2002960;1989483;1986189;1987089;1976263
19;9540158;9576728;9654172;9772289;9791416;9785033;9699217;9670287;9606758;9505059;9492886;9213719;9208194;9259646;9210965;9141006;9092847;9036362;9011506;9010727;8963510;8849685;8923858;8832272;8764401;8746632;8741398;8744313;8743750;8713740;8683107;8744056;8752001;8738799;8699200;8674539;8674140;8682968;8728069;8660457;8624799
21;19301698;19368594;19499843;19464918;19532686;19440895;19443553;19447748;19260817;19123947;18769017;18066862;17993379;18030892;18018440;17925516;17891990;17876296;17863823;17873347;17844478;17534978;17691817;17242799;17128933;17032579;16960262;16943178;16949465;16948614;16920612;16908620;16844454;16789228;16654186;16338681;16239158;16131599;16066199;15987174;15917367
22;3023677;3037295;3056446;3069364;3082982;3055199;3045213;3018346;2960392;2948075;2926020;2693561;2683249;2686681;2711668;2711719;2704122;2686958;2669135;2666411;2657650;2622857;2636930;2617383;2614150;2606812;2600178;2592741;2587499;2583885;2577949;2574259;2568294;2562832;2557305;2557045;2555376;2544927;2546705;2534735;2532103
24;2440178;2470327;2479521;2478603;2488572;2473390;2471543;2464764;2429097;2422962;2406844;2307803;2294648;2312188;2311428;2302614;2281038;2262771;2241965;2243978;2241007;2196469;2210448;2187593;2184455;2178508;2172322;2166622;2152628;2142644;2135471;2127110;2118768;2103612;2091859;2066561;2061850;2046283;2033496;2017538;2006313
27;3720456;3738276;3737450;3754755;3777079;3760034;3742653;3712466;3625067;3608491;3587893;3303554;3355024;3381792;3362190;3321082;3288957;3315622;3301793;3307244;3285552;3263343;3252664;3222126;3221568;3204991;3202808;3193986;3198593;3195690;3195151;3188720;3190869;3191862;3191240;3194166;3199397;3191429;3201559;3201980;3223221
28;697369;695912;693312;696309;697939;694483;691742;688286;672818;672584;670451;608184;629504;636802;635520;621456;620580;622720;627376;628043;629953;624118;622823;619656;618576;615158;613008;611721;610751;611612;610980;612014;610056;609852;609429;611549;611851;609163;610796;609740;612292
31;11123574;11129773;11181765;11180323;11238275;11158214;11094418;11014351;10881229;10828604;10691609;10294063;10205004;10245995;10232449;10136308;10047624;9956165;9890234;9853932;9794273;9704674;9692489;9499493;9482275;9436115;9436496;9402349;9386458;9372801;9356325;9353114;9325206;9293901;9216218;9127649;9132009;9099286;9076921;9057099;9036202
32;2626892;2629061;2640758;2649825;2669037;2651654;2647149;2639235;2601930;2591325;2570747;2479296;2483025;2496410;2491240;2469763;2442446;2420270;2409436;2406480;2396699;2361296;2366036;2314067;2309879;2305977;2305406;2298258;2293969;2293688;2291634;2291704;2285510;2275912;2258596;2225128;2216106;2206984;2198379;2191204;2182810
33;2234805;2235934;2245927;2238858;2256285;2238912;2233548;2235656;2216064;2222176;2200647;2126496;2113191;2125370;2127187;2123834;2121606;2120729;2113767;2117276;2111849;2092496;2092677;2032930;2028523;2025926;2030115;2027523;2028133;2029537;2033952;2040030;2036821;2036446;2010544;1979837;1989543;1990219;1989605;1984294;1980094
34;3313598;3309092;3305995;3297666;3290639;3266317;3258645;3249810;3224064;3206164;3152147;3079179;3062347;3069604;3064045;3040278;3020759;2995622;2988463;2984036;2975355;2962711;2952108;2923852;2910207;2898158;2889126;2876339;2869452;2864144;2852859;2844172;2833260;2819586;2804393;2796652;2790851;2780154;2773787;2770363;2761697
35;3415154;3426983;3437081;3432340;3432374;3412266;3401886;3376815;3336115;3327088;3286787;3114795;3091448;3099488;3086801;3078659;3064960;3056382;3057780;3064405;3063038;3050880;3054538;3017577;3012730;3000184;2998534;2987474;2987197;2994281;2994444;2994006;2981337;2972853;2959290;2934022;2929817;2916708;2911376;2899457;2890802
37;1636320;1640314;1648207;1648380;1647092;1630888;1618768;1603707;1575034;1564913;1544643;1459064;1449765;1449148;1446346;1443242;1438425;1433403;1427638;1425980;1421502;1420712;1422533;1414720;1410780;1406208;1403150;1400010;1398414;1397390;1393579;1391495;1385036;1381522;1374644;1370686;1369255;1364447;1362581;1357894;1354217
38;2503306;2508647;2516331;2520868;2529705;2512828;2498634;2471101;2427904;2408763;2367479;2156766;2155161;2168563;2178697;2168300;2159191;2144869;2140229;2143680;2154933;2154209;2154527;2144890;2136178;2133815;2135243;2132518;2136062;2136431;2136147;2143207;2143478;2144706;2143615;2152782;2167143;2170007;2180185;2175044;2178828
41;5777795;5776134;5774632;5763766;5780316;5766030;5769822;5762759;5707267;5680001;5621090;5392022;5410379;5414642;5406369;5377283;5329795;5279422;5261225;5244591;5211862;5175308;5224152;5162653;5165325;5151732;5157100;5151527;5142708;5157208;5192643;5135128;5082715;5115516;5108495;5101077;5083989;5049703;5056543;5008629;4981755
42;1920418;1912975;1911678;1911724;1927572;1913144;1910293;1909093;1887025;1866653;1835260;1735899;1742514;1749743;1750917;1738657;1717659;1703704;1701357;1707337;1706497;1700988;1723755;1708020;1699006;1698778;1701648;1685122;1671655;1660123;1658410;1658977;1634596;1645785;1649040;1642239;1636610;1622724;1624918;1616282;1608092
43;2756906;2753153;2764967;2775704;2791225;2776292;2764143;2753147;2717722;2710135;2673154;2564456;2579975;2590956;2599246;2591958;2573720;2556022;2533430;2526198;2506713;2491418;2511532;2471345;2461268;2455145;2452139;2448949;2448468;2454509;2442782;2448924;2419060;2413351;2402689;2396515;2391134;2380546;2387284;2381044;2375763
44;2568910;2568403;2566817;2564893;2566991;2551784;2550318;2550952;2531150;2524829;2484284;2403703;2412870;2419053;2411620;2394716;2372975;2347408;2332085;2323199;2310928;2300733;2317752;2296419;2287482;2283522;2280932;2271459;2265842;2266759;2259202;2262326;2243947;2235113;2224374;2216372;2210839;2199815;2204946;2195100;2188385
45;1500782;1498707;1501606;1498253;1498388;1483634;1472946;1466213;1448176;1442089;1415101;1367965;1369186;1373149;1374604;1366176;1353257;1339142;1338882;1346704;1347363;1343115;1355687;1349546;1344448;1340570;1336278;1328358;1323870;1321241;1314645;1313285;1293541;1291131;1288710;1288788;1286991;1283288;1285057;1280196;1276478
46;843455;847450;848656;851669;853372;848857;848558;846939;833911;832391;827743;788849;794722;799358;803974;802727;798650;795804;795391;795403;795210;789785;794978;779824;770667;770621;771363;767194;765815;766721;762514;761553;753261;748184;735668;725417;722798;717249;719159;715376;709007
47;3996694;4025801;4056559;4073487;4071159;4035818;4006834;3964385;3881802;3862387;3824420;3659331;3674043;3689394;3680542;3660860;3616682;3563297;3528069;3511481;3495474;3459840;3483989;3443754;3439213;3433653;3433505;3421921;3411791;3402761;3386123;3380993;3370665;3368704;3359562;3370665;3379594;3370939;3384679;3393767;3390737
48;2955619;2963807;2969123;2964052;2957012;2934610;2914530;2904212;2870530;2862643;2823051;2734800;2735539;2738992;2744578;2738918;2712546;2681857;2665967;2666887;2655852;2641956;2669340;2620672;2622757;2622393;2622922;2621255;2609604;2611638;2602926;2598627;2582703;2581782;2566274;2560443;2566362;2570195;2573990;2583369;2568673
49;2178693;2186566;2196654;2211565;2225209;2222634;2223692;2215071;2181618;2172418;2161409;2111581;2098655;2121582;2119893;2114101;2095713;2095469;2100466;2112704;2117802;2094900;2113235;2077101;2072662;2075350;2087306;2092884;2096860;2097015;2091592;2098968;2101348;2112502;2095541;2068146;2069028;2074768;2088337;2102749;2107556
51;8956563;8957311;8955881;8911419;8882455;8779395;8749216;8722997;8569171;8528323;8391430;7990449;8009929;8015051;8001184;8009263;7994692;7944353;7921413;7905164;7870795;7813873;7881314;7658698;7596067;7613655;7580828;7583793;7561927;7536280;7491387;7491388;7432958;7479311;7450821;7355578;7349369;7308381;7302257;7297025;7291027
53;1947942;1960213;1957780;1941177;1950962;1950307;1952399;1950264;1909708;1882490;1856623;1769731;1762076;1755064;1764116;1758379;1749052;1731120;1718481;1710323;1713969;1707062;1725306;1672865;1689719;1704205;1708357;1692314;1642073;1635331;1620287;1623256;1617272;1613733;1585545;1550971;1545460;1534350;1534562;1531487;1527164
54;2776895;2788735;2804592;2812508;2820927;2805730;2791693;2780228;2730602;2711925;2642585;2523080;2533206;2529650;2545446;2535094;2539784;2535435;2533354;2525130;2515081;2496905;2513619;2461110;2462071;2462595;2458468;2450566;2445747;2442111;2436989;2438534;2428437;2426533;2418217;2394462;2392609;2381609;2381419;2377861;2373333
55;2886303;2892570;2900411;2905665;2908817;2878526;2861755;2840100;2771236;2749914;2679039;2491564;2501341;2495329;2523405;2522859;2530420;2524747;2523862;2509633;2493058;2475104;2492675;2433226;2419737;2423982;2422717;2418226;2418260;2412259;2411523;2417655;2409783;2407139;2391761;2363161;2360648;2346949;2351616;2355300;2362012
61;6958625;6971785;6997568;6978874;6991354;6978510;6950555;6925898;6815854;6727949;6550434;6160933;6152295;6155203;6174144;6155028;6147373;6124428;6110040;6073917;5994458;5890520;5875737;5805699;5769912;5756839;5741132;5724151;5729769;5724147;5708881;5714319;5673244;5644272;5580142;5506967;5499318;5472377;5452625;5427121;5400438
62;6677140;6675241;6671086;6655927;6651425;6653540;6688802;6683252;6582692;6509542;6314571;5976320;5989502;5992876;6002516;6009256;6002490;5976310;5973679;5961568;5916754;5745151;5773382;5690785;5676096;5667574;5652714;5634701;5641163;5644735;5644311;5670073;5634585;5620833;5610190;5526862;5516190;5476286;5470371;5470458;5472858
63;2030227;2042764;2054902;2044927;2043303;2028800;2023807;2023441;1991602;1983758;1965999;1840885;1848001;1857434;1877082;1883409;1890722;1886839;1883287;1859127;1833874;1805906;1799448;1775750;1770235;1771316;1770773;1768593;1774751;1774796;1771060;1777090;1766347;1762984;1721144;1666157;1661044;1646844;1648866;1651857;1650580
64;2257807;2260385;2268041;2260214;2263713;2247905;2239752;2234881;2198452;2175409;2125189;2011430;2027391;2032740;2030248;2023972;2015253;2011605;2007965;1993630;1980219;1954681;1964130;1937825;1935735;1931056;1927188;1924524;1928661;1931163;1935657;1943526;1912428;1910214;1889966;1850859;1844813;1830557;1828621;1833403;1833010
65;2623985;2626514;2634811;2635544;2643038;2634479;2613835;2583979;2526027;2511721;2432509;2291482;2295359;2298600;2292126;2281853;2288015;2294743;2298613;2285593;2280698;2253633;2268188;2248787;2243396;2240405;2235918;2234824;2241706;2245942;2249603;2256985;2239263;2236060;2236428;2233168;2238869;2242844;2248938;2247666;2252151
66;2093751;2102178;2117274;2128281;2136430;2118164;2102789;2084422;2025923;2016447;1995673;1869167;1873558;1882125;1890448;1888087;1885718;1886142;1883886;1870232;1863041;1852769;1846535;1831107;1820191;1819550;1820419;1819159;1829265;1833039;1836327;1839040;1819996;1816940;1799394;1782294;1780308;1775907;1781510;1786255;1792310
67;3834020;3855078;3870970;3860603;3873700;3851780;3839815;3807908;3732892;3685239;3558944;3359730;3375030;3381464;3384204;3369207;3369019;3379143;3381246;3358956;3355802;3335259;3351380;3326259;3316979;3320761;3308802;3301491;3304193;3295233;3299541;3300707;3266777;3260964;3254100;3229703;3223983;3215462;3219649;3233428;3242471
68;912442;923119;922677;932771;944025;942389;941643;935138;905954;904352;878663;805497;801796;800357;805323;806233;811217;812591;815301;802895;793918;788376;796101;788933;791124;788086;785959;787299;785220;783289;782371;783313;775804;775020;771103;768863;769816;761926;768072;772606;778684
69;2462203;2477174;2469789;2459464;2462496;2439342;2429408;2414753;2368728;2340591;2251334;2133397;2141896;2144945;2161208;2160482;2136287;2115268;2109413;2090170;2075622;2043743;2045605;2006268;1999492;2001871;2000133;1995171;2000634;1988551;1979763;1979991;1945685;1957771;1928641;1879026;1872763;1867911;1871954;1882244;1873565
