Rótulos de Linha;Soma de 2005-02;Soma de 2005-03;Soma de 2005-04;Soma de 2005-05;Soma de 2005-06;Soma de 2005-07;Soma de 2005-08;Soma de 2005-09;Soma de 2005-10;Soma de 2005-11;Soma de 2005-12;Soma de 2006-01;Soma de 2006-02;Soma de 2006-03;Soma de 2006-04;Soma de 2006-05;Soma de 2006-06;Soma de 2006-07;Soma de 2006-08;Soma de 2006-09;Soma de 2006-10;Soma de 2006-11;Soma de 2006-12;Soma de 2007-01;Soma de 2007-02;Soma de 2007-03;Soma de 2007-04;Soma de 2007-05;Soma de 2007-06;Soma de 2007-07;Soma de 2007-08;Soma de 2007-09;Soma de 2007-10;Soma de 2007-11;Soma de 2007-12;Soma de 2008-01;Soma de 2008-02;Soma de 2008-03;Soma de 2008-04;Soma de 2008-05;Soma de 2008-06;Soma de 2008-07;Soma de 2008-08;Soma de 2008-09;Soma de 2008-10;Soma de 2008-11;Soma de 2008-12;Soma de 2009-01
AMAZONIA CELULAR S/A;1.279.597;1.278.586;1.252.949;1.250.436;1.244.071;1.238.889;1.219.536;1.207.103;1.196.241;1.183.206;1.223.041;1.224.909;1.221.789;1.233.115;1.239.287;1.238.644;1.250.567;1.255.277;1.263.480;1.273.256;1.252.799;1.159.028;1.210.780;1.238.447;1.254.737;1.256.133;1.253.770;1.282.980;1.291.481;1.299.803;1.306.978;1.311.864;1.348.716;1.381.157;1.416.619;1.381.233;1.391.580;1.405.148;1.358.353;1.355.423;1.473.733;1.587.124;1.625.677;1.319.702;1.144.638;1.085.262;1.021.369;703.844
CLARO S.A.;13.957.598;14.231.425;14.911.062;15.825.706;16.200.910;16.442.560;17.119.247;17.401.447;17.684.236;17.945.383;18.658.620;18.858.740;18.945.015;19.445.942;19.946.528;20.549.344;20.949.214;21.281.884;21.868.894;22.171.683;22.480.966;22.882.931;23.880.747;24.130.880;24.348.575;24.607.867;24.936.514;25.566.951;26.252.062;26.774.455;27.468.398;27.981.049;28.551.337;29.052.276;30.228.479;30.517.457;30.782.945;31.181.598;31.610.216;32.311.343;33.112.599;33.720.121;34.732.117;35.667.981;36.644.012;37.378.762;38.731.466;39.096.986
CTBC CELULAR S.A.;339.545;340.381;339.560;340.066;340.887;343.385;349.355;356.848;368.759;377.604;383.917;389.604;390.993;395.834;400.658;404.586;384.662;385.481;392.001;398.838;421.832;398.620;372.726;371.758;362.821;355.132;347.798;345.341;346.280;344.064;344.625;344.290;347.204;350.150;362.805;369.084;373.199;387.643;387.676;395.858;406.788;417.747;429.919;437.573;441.722;443.897;454.250;458.700
OI MÓVEL S.A.;880.203;1.039.721;1.182.939;1.324.565;1.415.320;1.499.699;1.642.132;1.746.361;1.808.689;1.915.329;2.212.848;2.308.024;2.377.174;2.460.089;2.514.522;2.640.227;2.771.775;2.860.011;2.975.079;3.051.025;3.085.354;3.161.739;3.376.786;3.483.845;3.550.643;3.635.813;3.677.069;3.827.830;3.768.551;3.840.880;3.947.522;4.023.818;4.089.173;4.189.444;4.262.675;4.419.175;4.479.543;4.577.552;4.676.777;4.906.412;5.015.403;5.059.561;5.146.112;5.245.925;5.312.070;5.339.375;5.605.005;5.832.402
SERCOMTEL CELULAR S.A.;87.312;85.458;85.025;84.704;85.568;83.551;83.777;84.728;84.655;84.093;85.888;85.721;84.508;84.508;84.667;85.204;85.358;83.463;82.277;82.103;86.515;88.720;86.095;88.443;90.732;92.218;90.617;92.158;92.449;90.069;87.487;82.828;78.703;75.471;73.113;72.012;70.996;70.562;70.367;69.644;70.640;71.142;71.628;72.226;74.725;77.260;84.901;89.303
TELEMIG CELULAR S.A;2.825.705;2.857.654;2.876.611;2.912.350;2.973.130;3.003.745;3.013.021;3.042.414;3.094.767;3.194.052;3.344.184;3.366.742;3.391.438;3.401.310;3.371.708;3.391.280;3.403.980;3.411.754;3.401.624;3.423.977;3.436.352;3.386.090;3.435.563;3.469.249;3.489.454;3.495.939;3.508.924;3.530.211;3.545.360;3.559.664;3.593.787;3.615.397;3.703.716;3.773.926;3.900.826;3.954.699;3.962.941;3.986.439;4.038.591;4.157.621;4.261.772;4.367.264;4.483.347;4.518.674;4.528.429;4.510.709;4.626.653;4.653.100
TIM CELULAR S.A.;14.253.883;14.659.229;15.191.154;16.005.024;16.765.736;17.174.832;18.006.774;18.355.132;18.742.626;18.951.878;20.187.368;20.512.073;20.709.470;21.034.312;21.356.383;21.789.626;22.354.400;22.865.463;23.606.010;24.100.999;24.384.082;24.725.425;25.424.873;25.692.786;25.911.855;26.320.814;26.454.312;27.027.072;27.492.616;27.905.950;28.514.638;29.173.843;29.684.159;30.101.069;31.268.186;32.067.520;32.342.683;35.794.431;33.025.732;33.416.517;33.829.351;34.178.995;34.726.339;35.220.301;35.765.093;36.065.669;36.416.363;36.553.996
TNL PCS S.A.;7.058.214;7.185.634;7.476.393;7.843.766;8.047.385;8.238.582;8.723.315;8.964.110;9.312.105;9.547.947;10.340.803;10.719.869;10.913.287;11.217.003;11.462.583;11.802.621;12.034.161;12.269.060;12.553.419;12.643.365;12.702.673;12.839.513;13.077.975;13.186.952;13.283.279;13.358.264;13.455.302;13.579.805;13.633.765;14.196.139;14.551.412;14.899.954;15.224.715;15.285.260;15.983.875;16.365.441;16.804.937;17.331.625;17.835.031;18.348.125;18.825.218;19.363.279;19.998.394;20.544.652;22.332.606;23.217.210;23.366.212;23.897.662
UNICEL DO BRASIL TELECOMUNICAÇÕES LTDA.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77;950;3.649;12.265;14.108;16.788;17.537
VIVO S.A.;26.730.973;26.957.078;27.474.612;28.153.767;28.444.667;28.553.727;28.790.175;28.839.087;28.947.652;29.152.152;29.773.667;30.005.229;30.031.644;30.136.606;30.207.851;30.475.804;28.526.054;28.634.389;28.762.214;28.725.658;28.791.226;28.689.713;29.053.076;29.054.781;28.894.613;29.030.257;29.150.930;29.838.187;30.240.504;30.508.640;31.115.049;31.320.221;31.662.581;32.105.074;33.483.525;33.710.956;33.913.655;34.322.975;34.740.013;35.597.417;36.173.042;36.565.670;37.206.416;37.757.879;38.540.058;38.920.145;40.318.396;40.645.547
