Tecnologia;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05
AMPS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CDMA;8271;7604;6992;6585;5963;5421;2729;3127;3133;3093;2922;2477;2159;1265;1455;1506;1501;1415;1327;1245;1159;1071;981;919;842;782;719;680;615;577;536;504;454;430;384;340;289;277;274;273;370
CDMA2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados > 256kbps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados Banda Larga;6343478;6289816;6310766;6296650;6287373;6239546;6207244;6164134;5704205;5684778;6027212;5920519;5778846;5693159;5586675;5439623;5275519;5131782;5009484;4907818;4816750;4704595;4595307;4499236;4385393;4281553;4164087;4050493;3898311;3746333;3598980;3454924;3365656;3246350;3121906;3014222;2901611;2824802;2754812;2698935;2636752
Dados até 256kbps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSM;108656102;106252138;102504089;96631154;93268247;90201181;87589677;83858669;80007539;77003793;73188959;65993506;64431169;63530304;62720049;60792234;59202053;58106247;56235626;54747227;53261891;51542358;50606240;47626782;46225467;46393350;43158599;42242949;40884304;40009492;39045851;37544533;36263490;35230452;33705119;32413781;31376440;30663696;29999777;29353608;28362932
LTE;7751462;8377123;9358537;10478260;11838106;13165232;14650370;16543314;18244421;20446594;22582691;25446700;28060845;30264987;32531827;34882119;37353455;39701827;42996938;46346417;49389045;52613975;56106105;60104360;64816623;66605908;71319710;74058745;77307685;80560354;84112987;88503794;91451806;95353107;98792700;102238044;105497000;107569500;110343807;112431284;115663168
M2M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M2M Especial;1392520;1530186;1654559;1778130;1973412;2152649;2370097;2528133;2707925;2541504;2663842;3937968;4003370;4104034;4211163;4196314;4290248;4374284;4536710;4682534;4827074;5017069;5256872;5447853;5644920;5786300;5953964;6067052;6152364;6244857;6231955;5922876;6058408;6194518;6327404;6278664;7033616;7123425;7287807;7435621;7550769
M2M Padrão;8703156;8737221;8771326;8963615;8882915;8865606;8684640;8636337;8642926;8689800;8742670;7394557;7396530;7400591;7260921;7441970;7426060;7383149;7264376;7287760;7265563;7310207;7334043;7287689;7215661;7265418;7317404;7361703;7391148;7485523;7757671;8299106;8432099;8613288;8737663;8940621;8426501;8613925;8760133;8950769;9141222
TDMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WCDMA;148865412;151383153;154813528;159383615;161918232;161844650;161965094;162308888;160598993;159446589;156402969;149118547;147575131;147068437;145498566;143675329;141682841;138709088;136529380;134108483;131466930;126264374;124548595;119100517;115130673;112585660;110875811;108553583;106483750;104077313;101263369;98441767;95491042;92212536;88406606;83602876;80994427;78859880;76639585;74835480;72096357
