UF;2005-01;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-06;2006-07;2006-08;2006-09;2006-10;2006-11;2006-12;2007-01;2007-02;2007-03;2007-04;2007-05;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01
AC;179551;182966;188590;200486;212469;216443;218402;225567;229486;232676;232660;245673;250339;254546;257077;260450;266261;248476;252904;258950;260984;262262;265170;277606;278508;276178;278313;279636;288593;314165;317133;324422;330681;339493;347175;369472;375201;377573;381550;387876;399288;408052;413575;423992;431246;437616;442401;464650;470441
AL;693402;702854;717392;759099;800498;827579;850742;895169;912873;935682;954864;1004401;1027959;1042724;1066701;1088184;1127011;1155749;1184083;1215255;1232026;1237662;1263236;1313369;1339168;1350196;1373347;1377033;1400450;1409684;1445645;1482464;1496625;1521209;1520431;1574379;1604240;1626043;1647335;1679714;1722932;1756846;1787070;1830120;1861954;1907296;1935819;1983658;2006675
AM;994022;1013950;1033117;1056591;1086937;1107847;1116271;1139350;1142960;1148571;1157678;1218818;1239900;1254624;1275059;1297074;1323132;1271434;1282810;1308458;1324112;1320824;1296054;1317826;1328247;1335328;1350408;1367885;1391389;1431304;1459519;1502696;1525045;1562146;1603411;1693476;1727354;1757783;1790277;1819197;1866918;1936840;2002152;2070118;2055861;2068703;2092201;2143741;1940211
AP;218853;222209;224930;229716;236635;238976;243336;249345;252269;253959;258001;276787;281734;281100;287097;291040;297876;283776;289388;293077;294045;292582;282763;290521;292268;291652;291048;292840;299272;293652;297237;304171;308529;317505;326734;344666;349118;352864;359279;365504;377459;395744;413812;428139;411200;409304;413028;426250;428534
BA;2700408;2738240;2803055;2960086;3142178;3228787;3285554;3470592;3535336;3641458;3706715;3939639;4047458;4095842;4192564;4293678;4451601;4556394;4653546;4818391;4917064;5013331;5089870;5269562;5311831;5377912;5456925;5545198;5722245;5846942;5995886;6165428;6309676;6448628;6536952;6854099;7048046;7168877;7291870;7447982;7630746;7771898;7922158;8139545;8326060;8513080;8636126;8792155;8897925
CE;1747575;1767097;1796647;1888873;1986030;2064044;2123109;2241985;2298519;2361060;2403131;2529657;2588672;2625298;2683512;2736639;2826975;2900054;2973808;3073034;3146314;3191356;3257676;3346564;3384422;3416484;3456575;3493606;3573330;3624171;3793195;3902752;3991179;4064067;4099779;4258685;4322749;4375696;4429907;4499898;4605270;4704234;4804106;4922787;5039501;5248618;5319379;5376558;5448237
DF;2142833;2182688;2239544;2312680;2410060;2464121;2504224;2558994;2579965;2600771;2621281;2714514;2739429;2731455;2776511;2805455;2839747;2630938;2626470;2658478;2640101;2617011;2608212;2684909;2696805;2696080;2711992;2708846;2759031;2693578;2668341;2713778;2740865;2768737;2810765;2886316;2926847;2939856;2978341;3037490;3116839;3163939;3170786;3213958;3246586;3284360;3344773;3446953;3496800
ES;1125094;1136660;1162054;1209460;1266877;1300008;1306257;1337508;1365126;1389014;1408456;1466338;1486472;1509156;1532257;1545664;1590429;1584300;1622830;1663275;1693842;1726827;1746274;1804560;1819773;1830296;1853071;1853730;1915776;1986767;2022897;2082197;2114631;2152346;2187688;2291245;2336223;2359976;2401060;2445670;2512095;2567961;2617391;2682463;2745705;2818233;2865981;2966342;3001937
GO;2340500;2384646;2440250;2532658;2664578;2737349;2782419;2868756;2915864;2954251;2999682;3133387;3178953;3188093;3237619;3298881;3369225;3210232;3287063;3372720;3406204;3455460;3483943;3585502;3607512;3605275;3605899;3615938;3688997;3710217;3777099;3845768;3888362;3942522;4016425;4166829;4238455;4260654;4306662;4369291;4490330;4577022;4630553;4715656;4784967;4857423;4906089;5074584;5132874
MA;844398;866781;889283;903427;935824;959545;976090;1007539;1019175;1034544;1045561;1112109;1137360;1154398;1182819;1199885;1231056;1204108;1225016;1266466;1282170;1284528;1271604;1299434;1322652;1343737;1361077;1365316;1399885;1388321;1429029;1471011;1507913;1558968;1601912;1712266;1762656;1807391;1850691;1897469;1956247;2030235;2106869;2185746;2167027;2173878;2203720;2253630;2280330
MG;6581273;6683395;6814623;6940235;7127526;7335975;7471655;7694286;7867764;8088604;8295180;8866812;9057951;9173599;9342380;9464748;9667528;9866524;10051120;10286354;10473852;10624878;10654984;10884282;11027091;11128118;11226548;11306808;11503908;11651975;11890628;12160286;12405287;12666429;12866340;13394374;13671207;13788290;13945577;14152598;14436241;14730180;15024761;15390305;15650681;15869519;16003576;16119137;16203861
MS;1128690;1141869;1177183;1219214;1268597;1295032;1311502;1308372;1335414;1348324;1359079;1415812;1419956;1428034;1444538;1458343;1470502;1371086;1386040;1401666;1413475;1431354;1442349;1494618;1499757;1493654;1505616;1514348;1549708;1610160;1626398;1660385;1683254;1706583;1740936;1815741;1846137;1861643;1881907;1913689;1970394;2014766;2045046;2085460;2121103;2153806;2179123;2257858;2276029
MT;1180363;1201071;1235628;1269224;1326157;1355301;1369389;1398751;1423518;1439285;1453561;1518430;1534718;1550612;1568975;1584736;1605294;1485388;1505899;1531964;1542755;1549504;1563957;1631508;1640070;1638953;1655413;1655315;1696577;1753135;1770452;1801531;1820495;1853067;1885087;1969031;2003263;2016611;2038279;2066313;2123402;2172707;2203771;2255348;2298734;2340504;2367226;2476426;2517015
PA;1639140;1660761;1685361;1718743;1776327;1820432;1841201;1884885;1903447;1943026;1958354;2082700;2120557;2141492;2179057;2215367;2271627;2231813;2262813;2313803;2335215;2331039;2311914;2391579;2427585;2453631;2486251;2497309;2552677;2558359;2605690;2667138;2721992;2798330;2864893;3041586;3103772;3181787;3258531;3314589;3406300;3539390;3653428;3781260;3767389;3794940;3833618;3971964;4020940
PB;774468;786593;801395;850910;901245;927087;955213;1019982;1042011;1059832;1074868;1114549;1139791;1156215;1186958;1216755;1261730;1294543;1323100;1366101;1391810;1395927;1425720;1472822;1497344;1509321;1531602;1550543;1571698;1590855;1679718;1732425;1757472;1778157;1786952;1850586;1882279;1901043;1915680;1943833;1987227;2021030;2049026;2092265;2136904;2171498;2199544;2196822;2224237
PE;2347275;2377664;2419809;2578330;2710049;2792123;2864137;3022478;3086370;3163968;3217764;3392100;3468206;3510834;3587741;3676309;3802435;3902463;3997545;4123081;4190336;4185911;4256572;4368876;4407282;4423204;4471177;4504056;4605079;4688356;4852692;4994405;5114168;5209070;5227993;5422855;5504998;5569252;5661469;5745127;5857095;5949780;6030163;6147511;6241107;6491468;6611048;6633059;6726874
PI;429572;437476;447907;476593;506695;528743;547215;575693;588000;604120;614090;652207;669881;682333;699469;717788;746987;769042;790076;819960;834198;834635;844510;874087;889894;899097;915250;923726;946600;965696;993684;1015136;1034274;1049333;1055503;1098242;1121283;1140567;1158955;1184146;1189222;1222358;1258859;1328566;1367648;1408646;1428189;1451727;1476997
