UF;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AC;912442;923119;922677;932771;944025;942389;941643;935138;905954;904352;878663;805497;801796;800357;805323;806233;811217;812591;815301;802895;793918;788376;796101;788933;791124;788086;785959;787299;785220;783289;782371;783313;775804;775020;771103;768863;769816;761926;768072;772606;778684
AL;4188841;4202556;4214715;4223417;4226581;4198852;4176732;4120696;4050452;3999272;3911235;3739032;3723315;3730969;3710376;3680785;3658362;3606026;3575432;3548304;3519769;3410693;3418788;3330071;3317256;3308307;3314644;3304377;3288455;3280936;3265561;3261347;3236031;3227406;3175102;3103182;3095690;3088941;3084390;3086454;3079709
AM;4167710;4204295;4263142;4286302;4303235;4270268;4261229;4221941;4104287;4034336;3992356;3709617;3722347;3717823;3677200;3611673;3571337;3553883;3556120;3527535;3503549;3487403;3493496;3472465;3463008;3455859;3455106;3450926;3447345;3438993;3436026;3435476;3433434;3442773;3451446;3460176;3471171;3488092;3526928;3546635;3573328
AP;928702;930403;937862;938156;941182;933561;930377;924863;901150;893157;878577;803412;796991;794486;738375;791801;775496;769455;765837;759453;754243;747255;742253;731340;727613;724987;722784;721780;719443;717675;719076;718137;712627;710891;705464;707503;708496;711601;717573;724297;729130
BA;18849876;18885772;18977729;18941650;18960107;18748837;18690241;18512925;18214997;17972631;17657968;16636911;16602368;16707566;16777365;16755934;16695431;16546903;16464352;16414341;16311062;15918744;15925303;15484941;15449062;15411313;15381038;15310562;15258847;15241742;15195086;15167868;15072694;14998803;14835522;14450344;14481822;14434749;14399014;14366644;14319804
CE;11901601;11932570;11781282;11769812;11821519;11701507;11658799;11652963;11515593;11325567;11130627;10818561;10750765;10817920;10803976;10690688;10580675;10465043;10431697;10387815;10337698;10055938;10105597;9813879;9774966;9703137;9651462;9589216;9540992;9551090;9556957;9565918;9513443;9502691;9359317;9158116;9135515;9093780;9066302;9080350;9048745
DF;6277998;6299380;6325391;6312535;6328241;6318634;6294970;6282960;6182038;6111513;6056171;5615044;5601246;5598960;5616455;5595641;5585073;5567786;5550971;5516889;5430266;5386212;5315519;5260985;5229751;5214939;5213498;5199498;5203984;5194420;5171086;5170250;5126416;5103349;5034734;4948868;4941265;4920915;4894182;4867115;4840355
ES;4417825;4434188;4430762;4451064;4475018;4454517;4434395;4400752;4297885;4281075;4258344;3911738;3984528;4018594;3997710;3942538;3909537;3938342;3929169;3935287;3915505;3887461;3875487;3841782;3840144;3820149;3815816;3805707;3809344;3807302;3806131;3800734;3800925;3801714;3800669;3805715;3811248;3800592;3812355;3811720;3835513
GO;9615574;9608031;9611304;9582480;9578251;9561321;9584139;9561071;9414960;9301387;8934023;8533639;8567942;8581859;8590453;8592615;8580043;8544557;8540713;8512226;8461165;8204140;8297730;8173324;8151992;8140530;8107536;8083878;8095609;8105625;8117763;8157668;8093841;8071970;8045564;7935820;7919056;7858305;7857435;7863867;7865951
MA;6643366;6677408;6712395;6683150;6729867;6669917;6647215;6633437;6539264;6497409;6365753;6058136;6058182;6100425;6122651;6067122;6096276;5966647;5968912;5980217;5968522;5914317;5910274;5767003;5749912;5737936;5749554;5741773;5727295;5726572;5730662;5744664;5726308;5716289;5620380;5525288;5529275;5535889;5543312;5599487;5581384
MG;26853649;26879804;26976064;26968260;27063407;26871079;26753048;26590675;26262340;26149033;25814059;24709659;24559941;24654578;24626765;24460384;24295011;24127440;24027547;23995789;23917649;23746978;23734908;23347529;23290572;23206383;23198070;23124471;23099685;23088272;23058940;23057728;22990648;22924926;22767300;22586756;22594724;22527805;22492834;22435355;22384650
MS;3834020;3855078;3870970;3860603;3873700;3851780;3839815;3807908;3732892;3685239;3558944;3359730;3375030;3381464;3384204;3369207;3369019;3379143;3381246;3358956;3355802;3335259;3351380;3326259;3316979;3320761;3308802;3301491;3304193;3295233;3299541;3300707;3266777;3260964;3254100;3229703;3223983;3215462;3219649;3233428;3242471
MT;4717736;4728692;4752085;4763825;4779468;4752643;4716624;4668401;4551950;4528168;4428182;4160649;4168917;4180725;4182574;4169940;4173733;4180885;4182499;4155825;4143739;4106402;4114723;4079894;4063587;4059955;4056337;4053983;4070971;4078981;4085930;4096025;4059259;4053000;4035822;4015462;4019177;4018751;4030448;4033921;4044461
PA;9311323;9339441;9386911;9397353;9436923;9329162;9287249;9240784;9070340;8978278;8790294;8290703;8219361;8250378;8162769;8119954;8013674;7926560;7908122;7885901;7838186;7753900;7740597;7626708;7595339;7537024;7509506;7485113;7463449;7437805;7427195;7405334;7361618;7340401;7286215;7251524;7262701;7262700;7278011;7307471;7318149
PB;5176951;5194852;5203832;5197198;5185945;5167125;5151909;5104885;5045428;4979489;4888158;4711760;4674501;4689764;4673558;4618516;4584592;4536167;4530305;4525098;4505272;4390007;4416581;4272656;4266585;4265546;4271794;4276764;4272506;4277479;4277871;4269852;4239568;4236966;4170019;4083939;4078576;4070063;4074930;4089907;4106048
PE;13090572;13136362;13194785;13182918;13181502;13056429;12964903;12816616;12655338;12502209;12255565;11859347;11819323;11859606;11803757;11688564;11606154;11456392;11415928;11330500;11215575;10896275;10940400;10567217;10540656;10528876;10503521;10476088;10457967;10469280;10454373;10449050;10402570;10400901;10239051;10011702;9990076;9969293;9965347;9966699;9937207
PI;4219925;4241848;4266711;4273863;4290136;4243468;4235813;4197607;4149224;4095029;4028865;3924416;3907441;3918258;3912128;3879308;3857172;3818655;3803480;3790335;3769990;3644106;3671342;3623397;3610659;3591316;3587217;3577975;3576902;3577116;3575908;3575262;3549681;3535586;3500475;3446285;3439624;3424227;3416442;3415060;3396045
PR;15368266;15356822;15368356;15366009;15417864;15339741;15316080;15289103;15125251;15056098;14856632;14252894;14309646;14346901;14346730;14271517;14146056;14021502;13962370;13943432;13878573;13801347;13927856;13767807;13728196;13700368;13699460;13652609;13618358;13626561;13630196;13580193;13427120;13449080;13408976;13370408;13332361;13253325;13277907;13196627;13139480
RJ;24765553;24876216;25035810;25012885;25104240;24969484;24960309;24930858;24650306;24494984;24101881;23068226;22971276;23029761;23041536;22939849;22877150;22826025;22774923;22783736;22743135;22354304;22539195;22047775;21927538;21817899;21732762;21702541;21689592;21675143;21634032;21609989;21531516;21455672;21303350;20962287;20856384;20722809;20646400;20539447;20455783
RN;4691054;4703794;4711940;4706028;4715657;4680607;4656088;4600724;4540124;4486144;4402115;4280595;4230554;4229213;4207866;4160800;4118270;4062738;4041716;4019556;3993631;3869276;3880545;3777723;3764155;3751311;3755882;3747844;3738078;3737323;3728097;3720592;3691441;3676127;3616210;3533547;3517809;3504188;3498027;3497882;3491254
RO;2462203;2477174;2469789;2459464;2462496;2439342;2429408;2414753;2368728;2340591;2251334;2133397;2141896;2144945;2161208;2160482;2136287;2115268;2109413;2090170;2075622;2043743;2045605;2006268;1999492;2001871;2000133;1995171;2000634;1988551;1979763;1979991;1945685;1957771;1928641;1879026;1872763;1867911;1871954;1882244;1873565
RR;509398;509127;516117;521972;525748;522308;521698;520567;512503;510239;508390;480103;479670;486498;474164;488350;485645;487825;490307;487739;483737;482048;481630;479189;481545;481114;482250;481105;479606;478622;480260;479998;478278;479990;482094;484904;485642;488262;492414;496706;501401
RS;16567703;16598829;16618664;16570769;16563161;16413958;16355063;16293589;15980717;15872652;15569677;14774824;14806552;14795094;14834151;14825595;14813948;14735655;14697110;14650250;14592903;14492944;14612914;14225899;14167594;14204437;14170370;14144899;14068007;14025981;13960186;13970833;13888450;13926716;13846344;13664172;13648086;13571289;13569854;13561673;13553536
SC;9131006;9176174;9222336;9249104;9253380;9193062;9145056;9083668;8933950;8897448;8808880;8505712;8508237;8549968;8545013;8513879;8424941;8340623;8294502;8291072;8269128;8196696;8266564;8141527;8134632;8131396;8143733;8136060;8118255;8111414;8080641;8078588;8054716;8062988;8021377;7999254;8014984;8015902;8047006;8079885;8066966
SE;2686502;2688749;2704999;2705899;2711073;2687536;2672754;2647515;2586895;2572071;2552221;2269886;2254829;2249619;2284068;2295725;2297849;2272220;2264740;2257516;2256122;2227746;2217035;2162317;2160496;2156256;2152788;2143146;2134937;2129692;2125688;2126055;2119031;2110025;2099520;2086820;2082290;2081020;2078520;2082360;2089850
SP;68400378;68673793;68888267;69135595;69258219;69127958;68820487;68564762;67624974;67364022;66766352;64559901;64363395;64569612;64453199;64048586;63878007;63462622;63207842;63271520;63159777;62506173;62826872;62174718;62106491;62087899;62249499;62272336;62373752;62504556;62660949;62884842;62798727;62865678;62611843;62352727;62286306;62320864;62508023;62516273;62547521
TO;2030227;2042764;2054902;2044927;2043303;2028800;2023807;2023441;1991602;1983758;1965999;1840885;1848001;1857434;1877082;1883409;1890722;1886839;1883287;1859127;1833874;1805906;1799448;1775750;1770235;1771316;1770773;1768593;1774751;1774796;1771060;1777090;1766347;1762984;1721144;1666157;1661044;1646844;1648866;1651857;1650580
