Razão Social;Grupo;Região;Tecnologia;Tipo;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-06;2006-07;2006-08;2006-09;2006-10;2006-11;2006-12;2007-01;2007-02;2007-03;2007-04;2007-05;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01
TELEMIG CELULAR S.A;TELEFÔNICA;1;AMPS;Banda Estreita Móvel;8289;7825;7430;7071;6759;6502;6246;6013;5796;5631;5447;0;5085;4917;4763;4562;4427;4315;4155;4042;3927;3829;3735;3644;3561;3469;3382;3286;3199;3116;3034;2965;2904;2836;2760;2655;2569;2500;2416;2325;1933;1668;4075;4075;4075;4075;4075;0
TELEMIG CELULAR S.A;TELEFÔNICA;1;CDMA;Banda Estreita Móvel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMIG CELULAR S.A;TELEFÔNICA;1;CDMA2000;Banda Larga Móvel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TELEMIG CELULAR S.A;TELEFÔNICA;1;Dados;Banda Estreita Móvel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36548;47028;49314
TELEMIG CELULAR S.A;TELEFÔNICA;1;GSM;Banda Estreita Móvel;290192;371653;454237;549638;667220;754994;849268;932627;1033107;1159914;1375574;1444096;1514353;1576154;1606304;1684398;1738942;1776576;1818572;1870830;1927189;1974541;2098552;2172498;2227484;2276001;2330468;2419005;2484324;2539873;2609442;2660158;2771098;2869868;3049521;3132106;3179157;3247099;3332802;3483791;3612783;3736263;3873349;3937503;3979535;3959848;4086888;4139116
TELEMIG CELULAR S.A;TELEFÔNICA;1;TDMA;Banda Estreita Móvel;2527224;2478176;2414944;2355641;2299151;2242249;2157507;2103774;2055864;2028507;1963163;1922646;1872000;1820239;1760641;1702320;1660611;1630863;1578897;1549105;1505236;1407720;1333276;1293107;1258409;1216469;1175074;1107920;1057837;1016675;981311;952274;929714;901222;848545;819938;781215;736840;703373;671505;647056;629333;603394;573449;539833;509046;481409;463463
TELEMIG CELULAR S.A;TELEFÔNICA;1;WCDMA;Banda Larga Móvel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2529;3647;4986;1192;7253;1207
AMAZONIA CELULAR S/A;OI;1;AMPS;Banda Estreita Móvel;1223;1193;1157;1157;1105;1083;1060;1038;1027;1015;298;282;272;252;234;222;213;204;193;189;183;176;173;167;157;150;144;139;132;129;124;121;114;108;107;104;102;98;92;91;87;85;82;81;75;68;63;42
AMAZONIA CELULAR S/A;OI;1;CDMA;Banda Estreita Móvel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AMAZONIA CELULAR S/A;OI;1;CDMA2000;Banda Larga Móvel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
