Empresa;Grupo;Região;DDD;UF;Tecnologia;Tipo;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;AMPS;Banda Estreita Móvel;12;12;13;13;13;12;12;12;12;12;11;11;10;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;CDMA;Banda Estreita Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;CDMA2000;Banda Larga Móvel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;Dados;Banda Estreita Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1741;1764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;Dados > 256kbps;Banda Larga Móvel;0;0;572;0;0;0;466;569;686;765;869;979;1077;1208;1239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;Dados Banda Larga;Banda Larga Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1487;1390;1313;1253;1168
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;Dados até 256kbps;Banda Estreita Móvel;434;528;0;633;699;766;0;0;0;0;0;0;0;0;0;1216;1198;1194;1194;1185;1176;1182;1170;1157;1146;1149;1205;1312;690;765;943;1359;1806;2379;1852;1865;1839;1823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;GSM;Banda Estreita Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8886;8747;8586;8443;8314;8205;8043;7907
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;LTE;Banda Larga Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;M2M;Banda Estreita Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1921;1987;2054;2140;2188;2285;2432;2578;2683;2873;2974;3024;3069;3012;2982;2912;2981;2827;2793;2658;2631;2537;;;;;;;;
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;M2M Especial;Banda Estreita Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;M2M Padrão;Banda Estreita Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2438;2379;2161;613;616;603;581;596
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;TDMA;Banda Estreita Móvel;1031;984;936;875;828;779;738;704;659;625;590;554;526;131;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;WCDMA;Banda Larga Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31472;32236;33003;34006;35013;36467;37559;39308
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;67;MS;AMPS;Banda Estreita Móvel;1;4;180;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;67;MS;CDMA;Banda Estreita Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0
ALGAR CELULAR S/A;ALGAR (CTBC TELECOM);Centro-Oeste;67;MS;CDMA2000;Banda Larga Móvel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
