Empresa;CNPJ;Grupo;Região;DDD;UF;Tecnologia;Tipo;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05
ALGAR CELULAR S/A;05835916000185;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;AMPS;Banda Estreita Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALGAR CELULAR S/A;05835916000185;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;CDMA;Banda Estreita Móvel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALGAR CELULAR S/A;05835916000185;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;CDMA2000;Banda Larga Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALGAR CELULAR S/A;05835916000185;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;Dados;Banda Estreita Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALGAR CELULAR S/A;05835916000185;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;Dados > 256kbps;Banda Larga Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALGAR CELULAR S/A;05835916000185;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;Dados Banda Larga;Banda Larga Móvel;1073;983;905;826;751;692;634;577;513;471;437;387;353;320;297;283;268;250;235;214;212;205;188;171;162;151;139;129;122;116;111;105;100;96;86;77;75;72;70;66;63
ALGAR CELULAR S/A;05835916000185;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;Dados até 256kbps;Banda Estreita Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALGAR CELULAR S/A;05835916000185;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;GSM;Banda Estreita Móvel;7810;7704;7604;7500;7416;7312;7234;7119;7027;6940;6833;6748;6652;6566;6491;6405;6333;6287;6230;6153;6095;5984;5884;5755;5632;5534;5470;5407;5353;5132;5057;4940;4832;4734;4631;4482;4013;3948;3808;3742;3669
ALGAR CELULAR S/A;05835916000185;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;LTE;Banda Larga Móvel;0;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALGAR CELULAR S/A;05835916000185;ALGAR (CTBC TELECOM);Centro-Oeste;64;GO;M2M;Banda Estreita Móvel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
